Message stats for scenario Photo_10000-Scenario_7-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 9392
coverageValue-----------------	169	206	348	267	224	158	66	60	120	208	163	275	268	228	211	294	254	78	313	233	235	120	320	148	289	189	220	231	295	116	169	311	169	170	105	308	209	264	171	164	249	205	143	348	318	195	173	120	245	171	253	223	246	323	353	283	254	292	322	270	229	335	121	171	188	184	327	264	344	344	259	322	247	359	189	252	237	268	241	261	337	264	239	122	216	326	310	248	352	179	348	280	208	333	255	257	176	207	304	120	
redundantCoverageValue--------	11	154	192	213	136	82	54	0	0	32	137	85	32	192	89	186	226	42	167	67	65	0	160	152	71	111	20	189	365	4	131	349	71	70	15	232	151	96	9	136	111	275	37	552	282	45	127	0	235	69	347	257	234	97	247	77	106	248	338	270	191	325	59	69	112	56	273	96	256	256	341	218	53	541	51	108	123	272	179	279	383	156	61	58	144	154	170	172	308	61	792	260	92	267	345	223	184	153	236	240	
halfCoverageTime--------------	.0	14343048.0	12592212.0	12581022.0	20345766.0	.0	.0	.0	.0	19748294.0	.0	19719468.0	13212910.0	3951100.0	20344792.0	11280806.0	4299378.0	.0	13377548.0	14141302.0	4293008.0	.0	4014606.0	.0	13511480.0	13201574.0	14323172.0	28384892.0	12566060.0	.0	.0	12581052.0	.0	.0	.0	16050796.0	14319633.0	4014763.0	.0	.0	12565394.0	16050808.0	.0	12565388.0	11791580.0	11280720.0	.0	.0	3949514.0	.0	1241048.0	13202206.0	15627710.0	13607020.0	14319498.0	1017676.0	14323160.0	4013887.0	4805094.0	4805105.0	12566108.0	3951062.0	.0	.0	14141290.0	11797912.0	4299384.0	19664688.0	757896.0	4013623.0	3949536.0	11280812.0	14141312.0	11280751.0	16050778.0	19664415.0	20345844.0	4013600.0	147448.0	4804352.0	147460.0	12651509.0	12565170.0	.0	757902.0	4013742.0	3951095.0	12651482.0	4013588.0	.0	330549.0	3949502.0	5227438.0	13267049.0	12665004.0	12665016.0	.0	.0	757846.0	.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	4	6	2	3	4	3	2	4	2	1	1	7	6	2	2	1	2	5	2	3	2	2	2	3	5	2	4	2	3	4	5	1	3	2	2	6	3	3	4	4	4	4	5	3	0	3	4	4	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	7.73	5.18	9.16	8.73	5.94	6.42	9.12	4.44	7.59	10.36	5.97	4.54	8.17	7.11	8.1	6.2	6.25	6.51	7.75	7.0	6.51	6.37	5.25	7.29	6.16	8.05	6.17	4.66	10.22	5.02	6.52	8.01	9.57	1.6	6.18	6.97	5.75	7.82	6.91	8.78	8.55	8.42	7.93	7.89	9.57	6.68	.0	5.65	9.64	7.74	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	4740	4800	4020	4800	5220	5040	4620	4920	4080	5400	4140	5340	5100	4260	5940	4920	4680	4200	4320	5100	4320	3600	4620	4860	4920	4560	5220	4140	4980	5040	4740	5220	4440	4020	4560	5400	5520	5280	4200	4620	4320	4380	4320	5220	5220	5160	4980	4020	5040	4260	5160	5100	5040	4200	4860	5220	5040	4860	5820	4440	5100	4860	4140	4560	4980	4740	4320	4140	5340	4980	5340	5220	4620	4320	4980	5640	4860	4680	4440	5760	5340	4920	5100	4440	5220	5340	5940	4200	4440	4320	6600	4140	4140	4320	5400	5340	5040	4980	5100	4920	
additionalPoiTime-------------	6.0490635758E9
algorithmTime-----------------	4.034341861E8
Total Transferred Metadata----	15085

Photo List Size: 9392
Gained Coverage %-------------	0.6543055555555556
Gained Redundancy %-----------	0.034723085207737876
Total Cluster Created---------	50
Total Transferred Photo-------	2084
Total Photo at Destination----	683
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	1	2	6	4	13	11	12	21	7	12	11	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	2	2	8	14	13	17	17	14	13	
Redundant Ratio---------------	4	93	3	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	
NumOfPoint Distribution-------	1	4	15	10	12	4	3	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	51	1	0	0	3	7	13	10	8	5	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	8	20	0	14	20	3	7	0	1	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	6042	1848	797	3751	4536	683	1370	788	483	1405	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	41.585903083700444	42.11453744493392	43.29955947136564	43.68281938325991	41.73568281938326	41.93832599118943	42.651982378854626	43.647577092511014	43.45374449339207	43.12334801762115	44.013215859030836	
Nodes Above Average-----------	118	116	117	119	119	120	118	119	118	116	117	
Nodes Below Average-----------	109	111	110	108	108	107	109	108	109	111	110	

Average Coverage--------------	2405.343612334802	2433.101321585903	2496.466960352423	2517.0396475770926	2412.9823788546255	2423.8325991189427	2462.281938325991	2515.453744493392	2504.6299559471368	2487.9955947136564	2535.237885462555	
Nodes Above Average-----------	120	119	119	120	119	120	116	120	119	118	119	
Nodes Below Average-----------	107	108	108	107	108	107	111	107	108	109	108	
Photos Above Average----------	53	54	56	57	53	53	55	56	56	56	57	
Photos Below Average----------	28	28	28	28	28	28	29	28	28	28	28	
Network Coverage--------------	36000	36000	36000	36000	36000	36000	36000	36000	36000	36000	36000	

Average Redundancy------------	89.81057268722466	93.77092511013215	101.50660792951543	103.9295154185022	91.15859030837004	92.4669603524229	96.83700440528635	103.40088105726872	102.59471365638767	99.40528634361233	105.55506607929516	
Nodes Above Average-----------	98	99	95	96	100	99	94	95	94	97	94	
Nodes Below Average-----------	129	128	132	131	127	128	133	132	133	130	133	
Photos Above Average----------	51	52	54	55	51	52	53	55	55	54	56	
Photos Below Average----------	34	34	35	34	33	34	34	34	34	34	35	
Network Redundancy------------	530400	537600	553740	558960	532440	535200	544920	558480	555840	551340	563460	

