Message stats for scenario Photo_1250-Scenario_4-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 1212
coverageValue-----------------	120	174	128	194	160	120	60	60	60	218	254	145	208	223	124	163	171	194	219	152	60	120	266	180	125	120	120	202	172	215	120	180	0	180	208	306	180	60	267	63	260	159	240	179	180	171	180	194	222	170	309	265	180	219	168	60	201	120	120	184	274	173	227	66	120	134	255	266	60	183	219	180	120	0	222	248	196	194	120	216	60	234	192	164	120	146	223	253	324	102	120	144	146	178	120	192	197	60	262	305	
redundantCoverageValue--------	0	66	52	106	80	0	0	0	0	22	166	95	92	77	56	77	69	106	81	88	0	0	34	0	55	0	0	38	128	25	0	0	0	0	32	114	0	0	93	57	40	21	0	1	60	69	0	166	78	70	51	95	0	81	72	0	159	0	0	56	86	7	133	54	0	46	105	34	0	177	21	0	0	0	78	112	44	226	0	24	0	126	108	76	0	34	17	107	156	18	0	36	34	2	0	48	43	0	158	55	
halfCoverageTime--------------	.0	.0	.0	29588102.0	.0	.0	.0	.0	.0	13084919.0	4799226.0	.0	20347952.0	14319444.0	.0	.0	.0	19708280.0	29435806.0	.0	.0	.0	12574286.0	20344786.0	.0	.0	.0	30035876.0	.0	4292996.0	.0	29186212.0	.0	14343356.0	16050745.0	11797917.0	13084914.0	.0	14343350.0	.0	12613090.0	.0	14343345.0	.0	19719462.0	.0	19664415.0	12566042.0	12665968.0	.0	13201562.0	13084924.0	13202200.0	29663308.0	.0	.0	28384886.0	.0	.0	29663320.0	13607020.0	.0	4299389.0	.0	.0	.0	4013718.0	1083502.0	.0	13511452.0	1083520.0	13267049.0	.0	.0	12566021.0	15535574.0	19664426.0	14323155.0	.0	17846412.0	.0	19663962.0	13201574.0	.0	.0	.0	12665004.0	4299384.0	11451306.0	.0	.0	.0	.0	.0	.0	29617275.0	4013702.0	.0	3949514.0	1083514.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	2	6	5	1	2	4	3	1	1	1	2	1	2	4	3	2	1	2	3	2	3	1	1	4	1	6	2	2	1	2	1	3	13	14	3	3	5	2	9	2	2	5	4	2	1	2	2	5	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	6.23	9.12	7.48	3.71	9.5	4.91	6.18	10.14	8.06	1.7	5.01	4.54	6.06	6.86	3.89	8.75	8.07	6.07	5.72	9.36	5.33	7.47	7.41	2.11	3.47	6.97	5.35	8.44	5.62	4.61	5.35	3.59	2.06	6.64	5.98	7.76	7.25	4.8	7.57	5.17	7.07	6.37	7.31	5.96	7.2	7.17	2.66	8.01	7.05	8.65	
initialCoverageValue----------	360	351	341	216	286	313	295	346	349	338	317	327	315	306	303	360	355	324	326	310	332	317	329	336	307	271	308	316	288	323	299	277	260	231	335	360	357	324	341	306	355	342	349	343	360	260	352	327	334	277	360	360	339	337	351	270	326	360	341	314	346	345	353	264	303	343	354	360	356	342	360	271	322	279	222	357	267	335	360	360	222	269	346	303	296	354	360	360	356	173	360	311	270	356	310	352	336	228	337	360	
initialRedundantCoverageValue-	600	369	439	204	374	347	185	794	551	382	643	693	405	114	237	600	305	696	454	230	148	223	391	384	473	329	172	404	432	217	241	143	160	69	265	780	723	216	499	414	605	318	371	317	480	220	608	513	146	503	600	600	381	383	669	270	574	240	259	406	494	555	547	276	237	497	546	480	184	618	600	269	518	81	198	483	273	565	660	540	198	271	554	357	484	426	780	660	604	67	420	229	210	484	230	788	444	612	563	840	
additionalPoiTime-------------	2.45077571E7
algorithmTime-----------------	5304034.0
Total Transferred Metadata----	15089

Photo List Size: 1212
Gained Coverage %-------------	0.5328032429061428
Gained Redundancy %-----------	0.11999519346310983
Total Cluster Created---------	50
Total Transferred Photo-------	1152
Total Photo at Destination----	369
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	2	9	2	15	8	22	14	13	10	1	4	0	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	2	0	5	6	13	16	20	18	11	7	2	
Redundant Ratio---------------	33	18	25	15	5	1	2	1	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
NumOfPoint Distribution-------	0	12	16	7	5	5	2	0	0	1	0	0	0	1	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	1	3	4	4	9	8	11	6	3	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	3	7	0	6	17	2	7	0	1	7	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	871	204	85	419	415	62	105	76	48	136	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	5.378854625550661	5.356828193832599	5.39647577092511	5.427312775330397	5.325991189427313	5.3215859030837	5.453744493392071	5.41409691629956	5.39647577092511	5.427312775330397	5.440528634361233	
Nodes Above Average-----------	111	106	105	105	109	105	106	106	105	105	106	
Nodes Below Average-----------	116	121	122	122	118	122	121	121	122	122	121	

Average Coverage--------------	322.5594713656388	321.2114537444934	323.2511013215859	325.273127753304	319.3612334801762	319.0969162995595	327.0264317180617	324.48017621145374	323.42290748898677	325.273127753304	326.06607929515417	
Nodes Above Average-----------	111	106	105	105	109	105	106	106	105	105	106	
Nodes Below Average-----------	116	121	122	122	118	122	121	121	122	122	121	
Photos Above Average----------	6	7	7	7	7	7	7	7	7	7	7	
Photos Below Average----------	3	3	3	3	3	3	3	3	3	3	3	
Network Coverage--------------	31817	31374	31263	31176	31584	31374	31355	31199	31244	31325	31105	

Average Redundancy------------	0.17180616740088106	0.19823788546255505	0.5374449339207048	0.3656387665198238	0.19823788546255505	0.19823788546255505	0.19823788546255505	0.3656387665198238	0.3656387665198238	0.3656387665198238	0.3656387665198238	
Nodes Above Average-----------	2	3	4	3	3	3	3	3	3	3	3	
Nodes Below Average-----------	225	224	223	224	224	224	224	224	224	224	224	
Photos Above Average----------	7	8	8	8	8	8	8	8	8	8	8	
Photos Below Average----------	5	5	5	5	5	5	5	5	5	5	5	
Network Redundancy------------	41443	41586	42237	42744	40956	41106	42925	42541	42256	42595	42995	

