Message stats for scenario Photo_2500-Scenario_4-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 2437
coverageValue-----------------	305	243	268	121	144	120	244	208	139	215	184	133	263	180	119	193	234	216	285	230	292	188	334	287	232	299	325	302	295	234	256	211	203	60	211	143	250	200	264	260	270	244	277	321	226	317	170	283	300	176	240	257	231	239	234	134	289	60	237	167	189	238	258	259	225	298	239	182	120	299	174	164	120	184	227	180	208	238	60	179	120	186	325	181	225	223	214	198	133	103	132	60	176	241	180	120	120	233	283	264	
redundantCoverageValue--------	115	57	212	59	96	0	56	272	41	25	56	47	37	0	1	47	6	84	75	70	188	52	206	133	128	181	155	118	185	126	44	89	37	0	89	97	170	100	156	160	150	56	143	99	14	163	70	77	180	4	180	43	9	61	186	46	191	0	123	73	231	62	162	101	15	122	61	58	0	121	6	76	0	56	13	0	32	182	0	181	0	174	95	59	75	77	146	42	47	77	48	0	4	119	0	0	0	67	137	156	
halfCoverageTime--------------	20344792.0	19748330.0	12574292.0	.0	.0	.0	16050745.0	17846454.0	.0	29588102.0	15535574.0	.0	4013713.0	12581052.0	.0	13227666.0	12581034.0	29588092.0	13287566.0	14319450.0	12566638.0	12665962.0	13084909.0	12566108.0	29674076.0	14323166.0	11451300.0	4013708.0	4804346.0	13278394.0	12592196.0	29433806.0	14319483.0	.0	20345766.0	.0	12565394.0	19664420.0	19719473.0	14319444.0	19708274.0	3951080.0	12613398.0	12651430.0	19664404.0	12566021.0	.0	12574268.0	1431180.0	.0	16050802.0	4804341.0	3949526.0	13203735.0	12565110.0	.0	4799231.0	.0	11127718.0	.0	4799226.0	15535556.0	4299389.0	19664092.0	12566031.0	13203730.0	16050790.0	12651464.0	.0	382432.0	.0	.0	.0	19664388.0	13511452.0	11127751.0	14319416.0	11451306.0	.0	.0	.0	12581028.0	12574286.0	11127724.0	13225148.0	14319488.0	4805110.0	12566060.0	.0	.0	.0	.0	.0	11280731.0	12613386.0	.0	.0	17846436.0	15535562.0	138555.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	2	2	5	3	2	3	1	2	3	5	4	5	2	3	10	2	4	4	2	2	8	6	6	2	6	1	3	2	3	2	2	3	3	5	3	1	3	2	3	0	2	2	6	5	6	3	5	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	6.18	5.81	4.97	6.18	8.54	5.13	9.79	2.36	4.2	2.32	5.03	12.22	8.79	8.27	6.88	5.44	5.74	8.46	5.66	4.04	4.96	5.1	6.01	7.73	8.13	6.82	5.48	8.78	5.24	9.89	4.32	7.07	6.52	9.44	4.54	9.57	8.24	6.16	1.25	6.65	6.16	9.43	.0	5.52	5.8	7.11	7.33	5.93	4.02	9.88	
initialCoverageValue----------	360	360	360	327	360	360	360	360	360	360	348	360	360	360	360	360	342	360	360	348	360	360	347	360	360	355	360	360	360	360	360	360	360	326	360	334	360	359	360	359	341	360	360	360	349	360	352	360	354	360	338	360	360	360	360	360	360	353	349	360	360	356	360	360	340	360	360	360	341	360	360	360	353	360	360	321	360	353	342	360	360	360	355	360	360	360	360	360	342	360	353	347	357	360	358	356	360	360	360	360	
initialRedundantCoverageValue-	1320	1200	1260	753	1020	960	1320	1320	1140	1080	912	1380	1140	960	780	1140	918	960	1260	912	1380	1140	1093	1560	1200	1265	1260	1200	1560	1560	1440	1140	1020	514	1200	986	1260	1081	1500	1261	859	1200	1260	1020	611	1080	1028	1440	846	1020	862	1440	1140	1200	1200	840	1620	547	1811	780	1560	1024	1140	960	1160	1140	1020	960	739	720	1260	1380	727	1080	1080	699	840	1447	498	1380	660	1380	785	780	960	1080	1080	900	978	900	967	1033	1023	1080	722	544	1260	1380	1380	1500	
additionalPoiTime-------------	1.443789255E8
algorithmTime-----------------	2.20585414E7
Total Transferred Metadata----	15088

Photo List Size: 2437
Gained Coverage %-------------	0.598960528164068
Gained Redundancy %-----------	0.07717277008183605
Total Cluster Created---------	50
Total Transferred Photo-------	1576
Total Photo at Destination----	497
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	4	0	8	8	10	13	23	15	12	6	1	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	4	1	14	9	20	22	16	11	3	
Redundant Ratio---------------	13	57	27	3	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	
NumOfPoint Distribution-------	1	4	16	12	3	7	5	0	1	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	
SD Distribution---------------	51	1	2	0	7	12	9	4	7	6	0	0	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	3	10	0	22	20	5	9	0	0	4	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1741	462	174	881	881	150	217	148	105	287	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	10.823788546255507	10.951541850220265	11.061674008810572	11.185022026431717	10.854625550660794	10.898678414096917	11.162995594713657	11.154185022026432	11.09691629955947	11.118942731277533	11.268722466960352	
Nodes Above Average-----------	123	120	101	104	119	119	103	105	104	102	106	
Nodes Below Average-----------	104	107	126	123	108	108	124	122	123	125	121	

Average Coverage--------------	642.7004405286343	650.1013215859031	656.237885462555	663.6387665198238	644.5726872246696	646.9911894273127	662.6828193832599	661.7885462555066	658.352422907489	659.5198237885462	668.3612334801762	
Nodes Above Average-----------	120	116	116	104	116	115	103	105	117	116	106	
Nodes Below Average-----------	107	111	111	123	111	112	124	122	110	111	121	
Photos Above Average----------	13	13	14	14	13	13	14	14	14	14	15	
Photos Below Average----------	7	7	7	7	7	7	8	7	7	7	7	
Network Coverage--------------	35509	35404	35353	35330	35460	35406	35401	35330	35339	35369	35318	

Average Redundancy------------	6.726872246696035	6.991189427312776	7.462555066079295	7.462555066079295	6.704845814977974	6.929515418502203	7.096916299559472	7.462555066079295	7.462555066079295	7.616740088105727	7.762114537444934	
Nodes Above Average-----------	39	39	41	41	39	39	39	41	41	40	42	
Nodes Below Average-----------	188	188	186	186	188	188	188	186	186	187	185	
Photos Above Average----------	12	12	13	13	12	12	13	13	13	13	14	
Photos Below Average----------	10	10	10	10	10	10	10	10	10	10	10	
Network Redundancy------------	111911	113756	115307	117010	112380	113034	116639	116590	115801	116071	118162	

