Message stats for scenario S-1_Photo_5000-Scenario_5-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4599
coverageValue-----------------	60	66	255	102	60	170	60	222	60	0	120	148	60	253	120	60	218	180	0	60	120	135	60	169	200	100	223	156	83	141	143	173	224	180	120	126	120	151	60	181	92	0	120	120	120	230	219	88	120	137	247	154	60	172	186	120	60	233	180	180	247	231	208	308	120	120	145	209	167	220	212	278	230	142	194	252	120	255	151	200	206	207	221	209	180	185	159	120	252	182	224	185	231	241	151	60	160	200	136	156	
redundantCoverageValue--------	0	54	45	18	0	10	0	18	0	0	0	32	0	107	0	0	82	0	0	0	0	45	0	131	40	80	17	84	37	39	37	67	76	0	0	54	0	29	0	59	28	0	0	0	0	70	21	32	0	43	113	86	0	128	54	0	0	67	0	0	53	69	152	112	0	0	35	31	13	80	88	82	70	38	46	288	0	45	89	100	94	93	79	91	0	55	21	0	168	118	16	55	9	119	29	0	20	100	44	84	
halfCoverageTime--------------	.0	.0	20344822.0	.0	.0	.0	.0	14319462.0	.0	.0	.0	.0	.0	3951062.0	.0	.0	5227444.0	19664482.0	.0	.0	.0	.0	.0	.0	19664080.0	.0	19664676.0	.0	.0	.0	.0	.0	19664404.0	19708280.0	.0	.0	.0	.0	.0	29186212.0	.0	.0	.0	.0	.0	19664415.0	19664442.0	.0	.0	.0	11451306.0	.0	.0	.0	15535538.0	.0	.0	14319592.0	29186218.0	15535544.0	19667104.0	19664688.0	20345778.0	3951085.0	.0	.0	.0	19663973.0	.0	19664448.0	19748312.0	4293008.0	14319538.0	.0	3949520.0	14319476.0	.0	14319604.0	.0	15535533.0	11797928.0	20344792.0	3950220.0	4014600.0	19663962.0	4805100.0	.0	.0	4014553.0	15535550.0	3949508.0	19748294.0	3951095.0	19719468.0	.0	.0	.0	11797922.0	.0	.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	7	3	1	5	2	5	3	1	2	2	3	2	3	3	1	2	0	4	7	4	2	4	4	5	1	4	2	3	1	1	2	3	3	4	3	2	3	3	2	3	4	2	3	1	2	3	5	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	1.62	6.13	5.72	8.3	4.9	9.08	7.57	4.72	5.4	7.03	2.6	5.44	6.81	9.29	5.47	5.0	6.72	4.88	8.74	.0	6.3	6.39	10.32	5.66	8.2	6.77	8.2	.63	5.85	3.29	6.48	.61	2.82	5.38	6.92	7.78	7.54	5.09	5.79	6.2	8.14	.51	6.92	7.76	8.53	9.89	6.16	7.41	8.87	10.39	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	1980	2220	2220	2760	2460	2220	2160	2640	2160	2400	2520	2340	1980	2760	2160	2340	3480	2040	1800	2220	2460	2460	1980	2160	2040	2160	3240	2880	2820	2400	2100	3000	2160	2160	2760	1860	2580	2040	1500	2820	2340	2160	2280	2580	2640	2220	2100	2100	1560	2040	2580	2700	2880	2820	2580	2280	2940	2280	2640	2760	2340	2520	2760	2700	2700	2760	2340	2220	2460	2280	2880	2100	2700	2640	2100	3060	2580	3060	2580	2220	2820	3060	2520	2400	1680	1920	2100	2820	3000	2460	1980	2580	2280	2100	2940	1980	2040	2460	2760	2880	
additionalPoiTime-------------	0.0
algorithmTime-----------------	8.20877262E7
Total Transferred Metadata----	15225

Photo List Size: 4599
Gained Coverage %-------------	0.43475
Gained Redundancy %-----------	0.0180840543881335
Total Cluster Created---------	50
Total Transferred Photo-------	1037
Total Photo at Destination----	336
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	3	12	3	17	9	18	14	14	8	1	1	0	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	3	0	13	5	21	20	15	18	4	1	0	
Redundant Ratio---------------	34	66	0	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	
NumOfPoint Distribution-------	1	8	12	14	8	5	0	2	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	54	1	2	1	3	10	11	6	7	3	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	0	11	0	3	9	0	18	0	0	2	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1392	690	39	370	348	213	342	110	109	142	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.605263157894736	20.776315789473685	21.04385964912281	21.214912280701753	20.517543859649123	20.68421052631579	20.99122807017544	21.18421052631579	21.109649122807017	20.92105263157895	21.25877192982456	
Nodes Above Average-----------	119	119	112	113	117	118	120	113	112	120	113	
Nodes Below Average-----------	109	109	116	115	111	110	108	115	116	108	115	

Average Coverage--------------	1214.6140350877192	1224.4035087719299	1239.359649122807	1248.6666666666667	1209.3640350877192	1219.1052631578948	1236.4473684210527	1246.9868421052631	1243.359649122807	1232.232456140351	1250.921052631579	
Nodes Above Average-----------	118	118	119	117	117	117	118	117	118	118	117	
Nodes Below Average-----------	110	110	109	111	111	111	110	111	110	110	111	
Photos Above Average----------	26	27	27	27	26	26	27	27	27	27	28	
Photos Below Average----------	14	14	13	14	14	14	14	14	14	14	14	
Network Coverage--------------	35980	35980	35977	35977	35980	35980	35980	35977	35977	35977	35977	

Average Redundancy------------	21.70175438596491	22.17543859649123	23.271929824561404	24.228070175438596	21.68859649122807	21.94736842105263	23.026315789473685	24.06578947368421	23.219298245614034	23.030701754385966	24.605263157894736	
Nodes Above Average-----------	83	80	82	82	82	83	80	81	81	80	81	
Nodes Below Average-----------	145	148	146	146	146	145	148	147	147	148	147	
Photos Above Average----------	22	23	24	24	22	23	24	24	24	24	24	
Photos Below Average----------	19	19	19	19	19	19	19	19	19	19	19	
Network Redundancy------------	245900	248240	251903	254243	244700	246980	251180	253823	252803	250223	254843	

