Message stats for scenario S-3_Photo_5000-Scenario_5-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4610
coverageValue-----------------	337	326	307	308	360	186	284	200	330	351	324	323	266	320	183	351	305	289	299	308	308	277	355	317	290	305	339	303	257	284	331	360	307	287	322	345	352	311	287	331	307	349	300	265	319	360	354	312	350	313	188	247	235	72	235	179	343	234	267	251	233	256	285	281	315	296	240	147	188	260	338	181	173	82	251	215	191	117	255	267	207	274	341	228	187	160	157	170	321	236	325	181	308	267	316	217	278	297	224	269	
redundantCoverageValue--------	143	214	413	232	420	174	196	220	90	189	216	277	214	280	237	249	415	191	181	232	292	203	185	103	70	355	321	177	223	256	329	180	113	253	218	195	428	229	133	209	233	251	180	335	161	360	306	288	190	287	112	113	365	48	125	1	257	186	213	49	127	104	135	259	165	304	60	93	172	100	322	239	127	38	409	145	169	3	285	393	213	326	139	252	233	140	143	70	279	124	395	119	112	333	344	203	262	243	136	91	
halfCoverageTime--------------	4293014.0	13202212.0	5227432.0	4205610.0	12581052.0	20347958.0	15430068.0	16050766.0	11974256.0	12854574.0	12566108.0	12566016.0	14320574.0	11209593.0	29674088.0	1495301.0	12665004.0	13193968.0	11280731.0	12613085.0	11280741.0	12565110.0	12566021.0	12581028.0	11280710.0	13267072.0	1509679.0	15535574.0	14141274.0	16050772.0	1440186.0	6258812.0	4292990.0	15430074.0	12566042.0	13227654.0	13202200.0	1500292.0	12651470.0	12651448.0	13227648.0	3951120.0	12565170.0	4013713.0	4205622.0	4013696.0	12566078.0	3951095.0	11199596.0	4292996.0	18547929.0	3719484.0	13278394.0	.0	11280768.0	.0	382420.0	4299389.0	3951105.0	757808.0	1017656.0	12565388.0	9971248.0	1500287.0	500850.0	1968324.0	3719544.0	.0	12566072.0	1953081.0	138550.0	2646716.0	.0	.0	138555.0	1483892.0	19663973.0	.0	13377542.0	15535544.0	1512746.0	500808.0	757825.0	8344494.0	12565126.0	.0	.0	.0	3949526.0	9971158.0	757846.0	15075414.0	12574268.0	1968330.0	147321.0	3719508.0	9971176.0	1261025.0	18550888.0	3951062.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	2	1	3	1	2	2	1	4	2	5	5	3	2	2	3	2	4	4	1	0	3	2	1	3	5	1	3	3	3	1	4	10	2	3	2	2	5	5	2	3	4	5	3	4	6	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	4.7	4.8	8.05	8.75	7.6	10.79	4.35	6.33	9.3	7.41	4.25	10.94	6.78	6.02	8.18	10.91	6.52	2.83	10.96	5.18	6.26	8.76	4.98	.0	9.57	5.58	1.22	6.71	6.74	1.08	6.94	8.16	9.56	5.1	9.2	6.86	6.89	7.04	6.43	3.1	7.05	9.1	5.3	5.14	7.22	7.15	8.17	7.55	5.29	9.0	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	358	343	360	360	360	360	360	360	360	360	349	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2820	2100	3120	2700	2340	2160	2220	1920	2100	2040	1680	3000	1740	2220	2520	2700	2580	2580	3060	2700	3420	2220	2460	2340	2220	2940	2820	1200	1740	2400	2880	2160	2400	2580	2640	2760	2880	2760	2340	2220	1920	2460	2340	2700	2820	1800	2700	1980	2820	2460	2160	2520	2460	1562	2057	2340	3000	2280	2940	2820	2460	2040	2700	2171	2040	2340	1920	1800	2940	1920	3060	3240	2580	1980	2520	2160	2160	1740	3120	2640	2700	3000	3060	2280	2520	2820	2040	3120	2640	2700	2880	2220	2160	2760	2340	2220	2760	2520	2460	2880	
additionalPoiTime-------------	0.0
algorithmTime-----------------	7.63624895E7
Total Transferred Metadata----	14988

Photo List Size: 4610
Gained Coverage %-------------	0.7572699471782041
Gained Redundancy %-----------	0.08605712423094161
Total Cluster Created---------	50
Total Transferred Photo-------	2283
Total Photo at Destination----	807
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	2	1	1	5	10	10	13	15	25	18	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	2	1	6	11	12	18	29	21	
Redundant Ratio---------------	0	66	34	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	
NumOfPoint Distribution-------	1	8	14	12	6	7	1	0	0	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	51	2	1	1	5	6	11	7	6	6	4	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	22	18	1	24	19	4	2	0	0	1	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1682	585	239	1242	834	244	265	481	156	358	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.504424778761063	20.827433628318584	21.371681415929203	21.800884955752213	20.553097345132745	20.73008849557522	21.261061946902654	21.75221238938053	21.464601769911503	21.371681415929203	21.964601769911503	
Nodes Above Average-----------	117	115	109	109	113	114	106	109	108	109	111	
Nodes Below Average-----------	109	111	117	117	113	112	120	117	118	117	115	

Average Coverage--------------	1206.6725663716813	1226.0619469026549	1256.2699115044247	1280.641592920354	1210.0530973451328	1220.4513274336284	1250.1017699115043	1277.6061946902655	1261.6150442477876	1256.8185840707965	1290.2566371681417	
Nodes Above Average-----------	116	111	113	106	111	110	111	106	108	113	108	
Nodes Below Average-----------	110	115	113	120	115	116	115	120	118	113	118	
Photos Above Average----------	26	27	28	30	26	27	28	29	29	28	30	
Photos Below Average----------	14	14	14	14	14	14	14	14	14	14	14	
Network Coverage--------------	35969	35968	35968	35968	35968	35968	35968	35968	35968	35968	35968	

Average Redundancy------------	23.5929203539823	23.58407079646018	26.030973451327434	27.411504424778762	23.13274336283186	23.353982300884955	25.561946902654867	27.52654867256637	26.261061946902654	25.48230088495575	27.61946902654867	
Nodes Above Average-----------	85	83	79	79	83	83	79	79	79	79	79	
Nodes Below Average-----------	141	143	147	147	143	143	147	147	147	147	147	
Photos Above Average----------	24	25	27	28	25	25	26	28	27	27	28	
Photos Below Average----------	17	17	18	18	17	17	18	18	18	18	18	
Network Redundancy------------	242071	246452	253832	259652	242732	245132	252332	258992	255092	253832	261872	

