Message stats for scenario S-3_Photo_5000-Scenario_7-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4610
coverageValue-----------------	330	284	238	240	307	254	335	255	202	347	281	350	341	301	250	113	329	275	343	224	281	259	325	245	103	224	251	203	296	199	175	304	347	322	305	194	335	333	253	266	280	240	303	151	298	279	329	130	306	231	360	270	337	360	280	288	332	333	259	352	325	329	229	262	280	298	325	298	305	275	298	358	312	360	346	360	228	353	341	282	360	311	282	335	349	282	315	221	315	304	317	333	246	302	288	256	329	342	277	235	
redundantCoverageValue--------	210	196	182	300	473	226	205	225	98	373	139	370	259	179	170	127	331	85	197	256	259	161	275	295	17	136	169	97	424	41	125	416	313	158	295	46	265	507	107	154	260	0	297	149	662	201	271	50	174	129	540	390	443	780	320	312	388	447	281	248	335	451	131	458	140	482	335	362	415	85	422	422	528	720	854	600	132	307	499	378	360	289	198	325	431	198	405	199	465	476	343	687	414	238	252	104	331	438	263	485	
halfCoverageTime--------------	1440204.0	3719502.0	19664437.0	13607031.0	4013612.0	4805100.0	4013588.0	9971200.0	20345844.0	6791308.0	13060470.0	13511458.0	11791592.0	12651464.0	12565182.0	.0	19698229.0	14319496.0	4804358.0	29588102.0	4293008.0	18548512.0	12574298.0	15430050.0	.0	13061696.0	14319574.0	20345784.0	11280780.0	11207514.0	.0	15627710.0	757852.0	15618670.0	4014611.0	20345766.0	4205545.0	3951105.0	19664448.0	12566042.0	15634982.0	12566066.0	12581034.0	.0	4014536.0	18547306.0	11280768.0	.0	12854568.0	19663973.0	4205594.0	1083502.0	2646722.0	147424.0	126236.0	11280720.0	3951115.0	147332.0	12651420.0	1968358.0	3951100.0	9971236.0	20345872.0	1500252.0	1953054.0	8344494.0	4205648.0	757836.0	3951095.0	11797912.0	4014594.0	3719514.0	3951068.0	1968330.0	1494368.0	4013778.0	17846436.0	1953098.0	4013772.0	11209598.0	330549.0	4013606.0	3949542.0	3951062.0	490424.0	14319568.0	4013754.0	1241042.0	13377548.0	1968312.0	1483904.0	1968364.0	11280751.0	4205605.0	3951080.0	19664382.0	12592207.0	757825.0	1509684.0	12581016.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	8	5	4	2	2	2	2	3	5	3	5	4	2	2	3	5	1	2	3	5	2	1	2	8	5	1	2	4	2	2	2	3	3	10	4	1	2	3	4	2	3	2	3	7	3	2	4	3	4	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	6.01	6.88	7.72	7.96	5.26	6.79	5.13	5.87	6.9	8.8	10.41	7.9	7.39	7.17	7.35	10.02	7.66	.5	6.58	9.08	6.65	6.79	1.96	5.41	7.08	7.28	8.66	10.88	7.74	7.62	5.07	4.48	7.62	10.33	8.86	5.53	3.01	7.74	7.66	8.83	5.35	6.42	6.6	9.77	7.85	8.24	7.42	7.97	5.33	7.7	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	358	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	355	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2820	2940	2280	2700	2940	2760	1980	2640	2280	2520	2520	2400	2640	2640	2160	2220	2400	2460	2460	2460	3120	2700	2040	1920	2400	1980	1860	1560	2520	1740	2580	2400	2940	2460	2640	2700	2760	2640	3000	2640	2162	1920	2520	2580	2880	2160	2340	2100	1800	2460	2760	2700	2640	3000	2580	2100	2460	2580	2460	2760	2460	2640	2100	2640	1620	2700	2880	2460	2040	2580	3000	2580	2220	2460	2700	2400	1625	2280	2100	2280	2820	2280	2220	2280	2280	1500	2520	2160	2400	2520	2400	2880	2760	2460	1740	2040	2820	2940	1920	2280	
additionalPoiTime-------------	8.995953666E8
algorithmTime-----------------	8.20253258E7
Total Transferred Metadata----	14987

Photo List Size: 4610
Gained Coverage %-------------	0.7973772678020726
Gained Redundancy %-----------	0.12423434816099388
Total Cluster Created---------	50
Total Transferred Photo-------	2569
Total Photo at Destination----	992
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	2	1	2	4	10	13	20	23	25	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	1	2	2	4	14	24	20	33	
Redundant Ratio---------------	1	40	49	9	1	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	
NumOfPoint Distribution-------	0	4	17	12	7	6	0	1	2	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	51	1	0	1	1	8	9	18	5	2	4	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	22	26	2	17	15	3	9	0	0	1	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3550	952	502	2311	2167	491	524	2815	265	623	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.504424778761063	20.712389380530972	20.951327433628318	21.345132743362832	20.575221238938052	20.63716814159292	21.097345132743364	21.305309734513273	21.01769911504425	21.08407079646018	21.539823008849556	
Nodes Above Average-----------	117	117	118	109	116	116	108	109	108	110	111	
Nodes Below Average-----------	109	109	108	117	110	110	118	117	118	116	115	

Average Coverage--------------	1206.9690265486727	1218.6946902654868	1233.5	1255.3805309734514	1210.5088495575221	1214.203539823009	1241.2920353982302	1253.3893805309735	1237.4424778761063	1240.4070796460178	1266.1017699115043	
Nodes Above Average-----------	116	115	116	114	114	114	115	114	113	117	108	
Nodes Below Average-----------	110	111	110	112	112	112	111	112	113	109	118	
Photos Above Average----------	26	27	27	28	26	26	27	28	28	27	29	
Photos Below Average----------	14	14	13	13	14	14	14	13	13	13	14	
Network Coverage--------------	35993	35993	35983	35983	35993	35993	35993	35983	35983	35983	35983	

Average Redundancy------------	23.29646017699115	24.048672566371682	23.579646017699115	25.327433628318584	24.004424778761063	24.02654867256637	24.548672566371682	24.92920353982301	23.61946902654867	24.63716814159292	26.287610619469028	
Nodes Above Average-----------	83	81	82	82	81	81	84	84	83	85	83	
Nodes Below Average-----------	143	145	144	144	145	145	142	142	143	141	143	
Photos Above Average----------	24	25	26	27	24	25	26	26	26	26	27	
Photos Below Average----------	18	18	17	17	18	18	17	17	17	17	18	
Network Redundancy------------	242047	244867	248117	253457	243007	243847	250087	252917	249017	249917	256097	

