Message stats for scenario S-5_Photo_5000-Scenario_5-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4546
coverageValue-----------------	360	326	360	360	360	360	360	360	357	333	360	334	301	342	357	344	360	318	337	360	338	349	358	355	353	297	321	348	262	331	360	360	334	359	360	347	358	354	360	360	325	316	335	345	346	352	360	360	305	302	179	352	326	223	313	303	332	60	258	312	259	282	255	164	78	235	300	277	282	266	303	188	345	221	188	291	220	248	309	341	258	185	280	180	218	271	252	297	267	197	258	240	60	244	211	314	240	203	270	247	
redundantCoverageValue--------	240	274	240	240	300	420	480	300	303	327	180	206	239	258	303	316	240	222	203	420	322	311	242	305	427	303	279	252	338	269	240	420	326	241	180	253	182	486	300	240	215	344	385	255	194	308	420	360	235	238	1	368	214	257	107	177	388	0	222	588	281	258	285	136	102	245	420	383	198	334	237	52	555	19	52	369	20	292	171	559	342	55	380	0	142	449	108	183	213	103	402	180	0	416	209	226	180	37	270	113	
halfCoverageTime--------------	1968358.0	11127948.0	1968330.0	4205572.0	11280720.0	1494306.0	4013742.0	12059980.0	10682374.0	12336786.0	3950226.0	12854538.0	11127376.0	4013600.0	10682450.0	3951100.0	9971170.0	10682122.0	4205600.0	10682534.0	10682396.0	12336776.0	4013736.0	10682358.0	3951085.0	10682352.0	12613096.0	10682402.0	11974244.0	4205556.0	3951068.0	4023044.0	11199596.0	4805094.0	4205550.0	12651436.0	1241048.0	12567368.0	4013618.0	10682318.0	10682522.0	13287584.0	1968324.0	3951062.0	11798104.0	10682588.0	3719520.0	4013708.0	11401173.0	4205562.0	.0	3949502.0	4804358.0	11451294.0	4013702.0	9971248.0	2646740.0	.0	1500292.0	134894.0	1494356.0	10682468.0	3719514.0	.0	.0	20347952.0	4014558.0	10682128.0	382402.0	3719556.0	1483892.0	12334398.0	382444.0	10682336.0	10682158.0	757846.0	18547188.0	11207514.0	3719484.0	1483909.0	14319410.0	4014763.0	9971194.0	12059038.0	10682082.0	9971176.0	11127484.0	1241042.0	8344500.0	10682242.0	4299389.0	10682176.0	.0	10682152.0	3949536.0	138555.0	3949514.0	13202194.0	3719538.0	13377554.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	3	7	3	2	1	1	6	6	7	4	4	2	10	2	3	3	2	2	2	1	3	3	2	1	2	4	2	2	4	1	3	1	1	3	2	4	3	2	3	2	0	3	1	4	2	3	4	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	2.5	7.63	8.85	7.95	5.52	2.7	3.86	7.33	7.04	6.26	5.39	10.5	9.43	8.63	4.17	6.5	8.67	5.49	7.13	9.59	3.42	8.57	9.94	6.05	3.54	5.04	9.0	5.17	5.82	7.41	3.64	8.4	9.31	1.94	6.66	6.6	9.56	4.67	5.6	4.69	6.58	.0	10.51	1.22	7.66	6.47	7.95	5.49	5.4	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	358	360	360	360	357	360	360	360	360	360	360	360	356	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	345	360	360	360	360	360	360	360	360	360	360	360	360	360	354	360	360	360	353	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2340	1740	1800	2040	2400	1800	2520	2700	2700	2700	3240	2100	2160	2822	2400	2280	2880	2043	3360	2400	2460	2460	2760	1500	2100	2224	1620	2400	2460	2580	3000	2580	2100	1800	2700	2100	2220	2400	2820	2400	2400	2040	2640	2640	2340	2640	2760	2580	2760	2160	3000	2580	3060	2100	2760	1860	2040	1860	2640	2640	3060	2640	3060	2400	2280	2220	3135	2160	2820	3300	2520	1920	2460	2280	2640	2520	1740	2580	2040	2880	2046	2160	2640	2520	2107	2880	2460	2340	2100	2280	3120	2220	1320	3120	2160	2940	2760	2100	2040	2880	
additionalPoiTime-------------	0.0
algorithmTime-----------------	7.39912743E7
Total Transferred Metadata----	14875

Photo List Size: 4546
Gained Coverage %-------------	0.8219837054750716
Gained Redundancy %-----------	0.10629803209601696
Total Cluster Created---------	50
Total Transferred Photo-------	2587
Total Photo at Destination----	929
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	2	1	0	0	3	5	8	13	9	15	44	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	2	1	0	3	6	11	14	16	47	
Redundant Ratio---------------	3	42	49	6	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	
NumOfPoint Distribution-------	2	9	14	13	7	0	2	2	0	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	52	2	2	4	3	9	7	8	5	6	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	16	30	1	40	6	1	1	0	0	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1702	578	237	1324	954	458	249	616	234	368	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.401785714285715	20.75	21.660714285714285	22.022321428571427	20.477678571428573	20.651785714285715	21.205357142857142	21.892857142857142	21.65625	21.544642857142858	22.138392857142858	
Nodes Above Average-----------	115	114	110	101	113	113	105	109	109	110	102	
Nodes Below Average-----------	109	110	114	123	111	111	119	115	115	114	122	

Average Coverage--------------	1197.1607142857142	1217.1651785714287	1268.830357142857	1289.4732142857142	1201.5580357142858	1211.8169642857142	1243.1607142857142	1281.9151785714287	1268.7723214285713	1262.3839285714287	1296.1294642857142	
Nodes Above Average-----------	121	112	110	104	112	111	111	107	109	110	104	
Nodes Below Average-----------	103	112	114	120	112	113	113	117	115	114	120	
Photos Above Average----------	25	27	29	30	26	27	28	30	29	29	30	
Photos Below Average----------	13	14	14	14	14	14	14	14	14	14	14	
Network Coverage--------------	35960	35960	35960	35960	35960	35960	35960	35960	35960	35960	35960	

Average Redundancy------------	26.946428571428573	27.834821428571427	30.8125	31.866071428571427	27.102678571428573	27.290178571428573	29.160714285714285	31.65625	30.602678571428573	30.294642857142858	32.174107142857146	
Nodes Above Average-----------	95	95	94	93	95	94	94	92	94	93	93	
Nodes Below Average-----------	129	129	130	131	129	130	130	132	130	131	131	
Photos Above Average----------	24	25	27	28	24	24	26	27	27	26	28	
Photos Below Average----------	17	17	17	17	17	17	17	17	17	17	17	
Network Redundancy------------	238240	242920	255160	260020	239260	241600	249040	258280	255100	253600	261580	

