Message stats for scenario S-7_Photo_5000-Scenario_4-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4494
coverageValue-----------------	360	360	360	360	338	360	360	360	296	310	359	360	360	360	360	360	350	360	360	360	356	345	318	352	352	360	315	360	343	352	356	345	353	358	360	354	360	360	360	330	316	360	357	353	275	355	297	341	360	360	287	244	301	230	266	229	201	332	177	212	315	295	249	218	201	253	290	353	217	265	182	245	271	258	230	270	297	355	249	245	237	157	60	329	349	230	177	215	235	261	176	359	302	214	146	170	235	241	254	267	
redundantCoverageValue--------	240	420	300	300	262	480	240	360	244	170	361	360	240	420	300	420	190	240	360	480	304	195	282	368	368	360	225	240	137	428	424	315	367	362	420	246	360	300	300	270	404	180	243	307	265	305	243	439	300	420	253	476	239	70	274	71	99	448	63	28	405	545	171	142	99	467	310	547	263	95	238	355	209	342	370	270	483	725	171	355	363	83	0	511	611	70	123	85	305	279	64	661	238	26	34	250	125	119	526	333	
halfCoverageTime--------------	4804358.0	10680667.0	10509230.0	10509310.0	1968336.0	1495301.0	3950210.0	1440198.0	10519729.0	12020552.0	3719508.0	3951120.0	10519156.0	3719538.0	10682148.0	10510972.0	10509461.0	10510658.0	4805110.0	10510788.0	10762148.0	4804352.0	10510624.0	10509354.0	4013742.0	4205616.0	10509248.0	10510938.0	10509286.0	10773339.0	4013702.0	10509242.0	11127974.0	4205550.0	3949508.0	1241030.0	757885.0	10510752.0	10682176.0	10682202.0	10509320.0	1968306.0	4293014.0	10682160.0	10680590.0	10681630.0	12613090.0	10509338.0	1017662.0	4013754.0	757846.0	10510612.0	8344505.0	11127360.0	10509348.0	2026144.0	10682079.0	4013594.0	.0	17846599.0	126200.0	1483909.0	3949496.0	10682290.0	28384730.0	147360.0	1494300.0	490394.0	3949531.0	2646734.0	10783768.0	147354.0	4013766.0	11127450.0	3719514.0	4205605.0	6791302.0	9971170.0	1953025.0	10510591.0	4805094.0	.0	.0	4013606.0	330538.0	1494362.0	.0	17689032.0	10509326.0	11798102.0	.0	138550.0	1494368.0	1500276.0	.0	.0	11798096.0	12060130.0	138416.0	10509254.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	3	4	2	1	2	4	4	1	2	6	3	3	5	1	1	4	2	3	3	3	2	4	1	2	3	4	12	5	3	2	10	2	4	2	2	3	2	4	2	2	5	2	4	4	1	3	4	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	9.04	7.6	7.86	6.59	9.05	4.22	6.13	6.91	6.52	1.9	10.6	9.13	8.34	6.26	7.97	3.7	1.39	5.77	5.82	6.65	6.65	7.91	7.75	6.65	2.1	6.07	4.97	6.83	7.1	6.46	8.69	6.07	5.99	8.2	4.5	9.14	6.35	4.88	7.16	8.23	9.25	5.82	8.06	7.79	8.16	8.55	3.71	9.58	8.5	7.08	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	349	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2940	2700	2640	2580	2100	2640	2580	2040	2280	2580	2220	2820	1860	2520	2160	2760	2100	2700	2580	2700	2040	2520	2460	2280	2340	2220	2760	2340	2280	2700	2880	2340	2040	2460	2640	2280	2760	2400	2460	2160	1980	3060	1860	1800	2280	2880	1980	3060	2580	2520	2040	2580	1920	3180	2580	2940	1571	2580	1980	1980	3300	2580	1980	2460	2640	2580	2100	2280	2400	2160	1920	2460	2640	3180	2220	2040	2820	2580	3000	2520	3120	2460	1860	2280	2340	2400	2220	2160	1800	2700	1980	2760	2580	2520	2460	3060	2400	2400	2220	1920	
additionalPoiTime-------------	8.743700049E8
algorithmTime-----------------	7.488048E7
Total Transferred Metadata----	14691

Photo List Size: 4494
Gained Coverage %-------------	0.8271138403401039
Gained Redundancy %-----------	0.12011404509890364
Total Cluster Created---------	50
Total Transferred Photo-------	3802
Total Photo at Destination----	992
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	1	0	0	1	5	3	12	14	8	9	47	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	1	0	0	6	6	15	11	12	49	
Redundant Ratio---------------	1	31	60	8	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	12	
NumOfPoint Distribution-------	0	6	15	11	11	3	1	1	0	0	1	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	2	1	2	4	4	13	9	8	6	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	23	22	2	43	0	2	0	0	1	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3462	733	450	7713	2996	881	341	3031	352	539	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.2972972972973	20.486486486486488	21.92792792792793	22.16216216216216	20.333333333333332	20.396396396396398	21.33783783783784	22.076576576576578	21.89189189189189	21.6981981981982	22.27927927927928	
Nodes Above Average-----------	113	112	108	99	113	111	103	99	106	108	100	
Nodes Below Average-----------	109	110	114	123	109	111	119	123	116	114	122	

Average Coverage--------------	1195.936936936937	1205.7342342342342	1286.7972972972973	1299.126126126126	1198.099099099099	1201.2567567567567	1252.7387387387387	1294.472972972973	1284.644144144144	1273.418918918919	1305.4774774774776	
Nodes Above Average-----------	118	110	107	100	118	109	106	101	105	106	101	
Nodes Below Average-----------	104	112	115	122	104	113	116	121	117	116	121	
Photos Above Average----------	25	26	30	31	26	26	29	31	30	29	31	
Photos Below Average----------	13	14	14	14	13	14	14	14	14	14	14	
Network Coverage--------------	35946	35941	35941	35941	35944	35944	35941	35941	35941	35941	35941	

Average Redundancy------------	21.9009009009009	23.454954954954953	28.87837837837838	30.603603603603602	21.9009009009009	22.527027027027028	27.53153153153153	30.12162162162162	28.86936936936937	28.472972972972972	31.27927927927928	
Nodes Above Average-----------	84	78	79	82	82	79	78	80	79	78	81	
Nodes Below Average-----------	138	144	143	140	140	143	144	142	143	144	141	
Photos Above Average----------	24	25	28	29	24	24	27	29	28	28	29	
Photos Below Average----------	18	17	18	17	17	18	18	17	18	17	17	
Network Redundancy------------	234414	236939	256139	259259	234896	235736	248279	258119	255659	253079	260819	

