Message stats for scenario S-7_Photo_5000-Scenario_7-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4494
coverageValue-----------------	259	360	347	337	352	348	360	360	340	360	352	310	359	350	251	327	352	344	316	360	328	337	303	354	324	349	360	309	359	333	360	351	340	327	359	326	360	325	316	225	360	329	337	323	341	314	356	360	346	309	347	319	348	342	352	360	353	360	360	285	360	356	360	360	331	360	346	360	340	338	360	357	360	322	356	360	321	353	360	319	271	360	353	352	360	357	348	332	360	341	360	352	360	322	360	359	341	355	333	344	
redundantCoverageValue--------	221	780	493	803	608	372	840	840	620	600	548	410	481	610	229	453	848	256	404	780	752	443	657	666	516	611	1200	591	541	747	660	549	800	273	901	394	1080	695	704	555	960	391	743	517	499	526	724	780	374	591	1093	581	672	618	788	1260	1027	840	720	735	960	664	900	1200	689	1020	854	1020	560	1102	960	843	720	758	604	720	519	907	900	881	629	720	1087	788	960	1203	852	688	660	559	1140	668	1080	1238	840	721	679	665	807	916	
halfCoverageTime--------------	11199602.0	10519310.0	10509315.0	10681680.0	10682120.0	4205610.0	1953086.0	10511148.0	3951090.0	10783272.0	10682266.0	10783162.0	10790058.0	10682402.0	11199608.0	4205676.0	11127531.0	11127460.0	10510846.0	10509274.0	10681624.0	3950220.0	10790082.0	10680667.0	4013606.0	10681642.0	10511583.0	4804352.0	10510824.0	10783156.0	10519248.0	10511080.0	10510770.0	12566048.0	4013612.0	10682090.0	4014752.0	1431192.0	10509508.0	12567368.0	10510829.0	11127432.0	3951105.0	10510834.0	4014553.0	10681630.0	10510796.0	9971242.0	10680662.0	10519203.0	10510642.0	1953066.0	4292996.0	4013790.0	10519214.0	757880.0	1494362.0	10519808.0	3719502.0	10680602.0	4013702.0	4013784.0	10509320.0	952104.0	8344494.0	2026132.0	1953060.0	757830.0	3949526.0	138550.0	382432.0	10510967.0	10510813.0	10509416.0	9971200.0	10509366.0	3949514.0	4293030.0	9971230.0	4014564.0	12318746.0	3719508.0	9971176.0	2646734.0	10510624.0	4014558.0	10509332.0	4013778.0	3950210.0	11527177.0	1083520.0	6791302.0	1483904.0	1953121.0	4205556.0	10682407.0	11127536.0	4014600.0	126166.0	1953054.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	7	15	1	6	4	9	7	3	3	10	13	3	3	0	3	4	12	6	3	4	1	2	3	6	1	3	3	2	3	2	3	9	8	9	5	6	3	1	5	6	3	3	12	3	4	6	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	6.53	5.1	6.16	6.17	6.9	.64	9.66	10.78	7.99	9.62	7.22	5.9	7.96	6.48	5.0	4.8	.0	8.32	5.87	7.57	8.43	6.76	6.53	4.34	5.97	7.46	5.55	1.33	8.15	7.58	6.38	4.72	3.65	7.2	6.01	9.33	5.35	5.77	9.08	5.71	8.32	5.1	6.78	5.94	7.36	7.21	6.78	7.68	6.68	5.45	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2040	2640	1800	2640	2460	1860	2820	3120	2160	2580	2520	1920	2160	2640	1800	1620	2220	2640	2640	2040	2700	2460	1740	2280	2100	2160	2820	2280	1920	2580	3060	2640	2340	2220	2640	3180	3240	2760	2100	1860	3120	2100	2400	2280	2460	2100	2280	2820	1740	2700	3060	2160	2280	1740	2580	3060	2220	2520	2280	2640	2520	1920	2280	2220	2160	3180	2940	2700	2340	2700	2340	2580	2760	1800	2040	2940	2400	2220	3420	2160	2160	2100	2520	2340	2520	3180	2580	1860	2160	2520	2820	2280	2400	2640	2520	2340	3000	2520	2160	2580	
additionalPoiTime-------------	9.781730703E8
algorithmTime-----------------	7.47400791E7
Total Transferred Metadata----	14695

Photo List Size: 4494
Gained Coverage %-------------	0.9469166666666666
Gained Redundancy %-----------	0.299270884824518
Total Cluster Created---------	50
Total Transferred Photo-------	4270
Total Photo at Destination----	1827
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	0	0	0	0	1	2	2	20	75	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	0	0	0	0	2	3	14	81	
Redundant Ratio---------------	0	1	8	44	34	12	1	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
NumOfPoint Distribution-------	1	4	3	18	5	2	6	2	1	3	1	0	2	1	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	52	1	0	1	3	12	12	10	4	4	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	17	25	2	56	0	0	0	0	0	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3618	930	505	7917	2940	1002	429	2579	289	554	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.2972972972973	20.486486486486488	21.076576576576578	21.085585585585587	20.355855855855857	20.42792792792793	21.14864864864865	21.04054054054054	20.92792792792793	20.90990990990991	21.13963963963964	
Nodes Above Average-----------	113	113	106	104	113	112	103	105	112	111	106	
Nodes Below Average-----------	109	109	116	118	109	110	119	117	110	111	116	

Average Coverage--------------	1197.1306306306305	1207.7927927927929	1240.563063063063	1240.8018018018017	1200.481981981982	1204.400900900901	1244.6756756756756	1237.9279279279278	1231.6486486486488	1231.8288288288288	1243.8288288288288	
Nodes Above Average-----------	120	112	111	110	113	112	112	111	111	110	112	
Nodes Below Average-----------	102	110	111	112	109	110	110	111	111	112	110	
Photos Above Average----------	25	26	28	29	26	26	28	28	28	28	29	
Photos Below Average----------	13	14	13	13	14	14	13	13	13	13	12	
Network Coverage--------------	35997	35997	35997	35995	35997	35997	35997	35997	35997	35997	35995	

Average Redundancy------------	20.707207207207208	21.396396396396398	24.03153153153153	24.333333333333332	20.86936936936937	21.274774774774773	24.243243243243242	24.504504504504503	24.027027027027028	22.765765765765767	24.54954954954955	
Nodes Above Average-----------	77	74	73	73	77	74	77	72	73	76	73	
Nodes Below Average-----------	145	148	149	149	145	148	145	150	149	146	149	
Photos Above Average----------	24	25	28	28	24	25	27	28	28	27	29	
Photos Below Average----------	18	17	17	17	18	18	17	17	17	17	17	
Network Redundancy------------	234363	236883	244743	244865	235143	236103	245703	244263	242763	242523	245585	

