Message stats for scenario S_1-Photo_5000-Scenario_4-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4599
coverageValue-----------------	134	130	237	102	197	120	123	60	223	163	169	60	74	219	180	117	120	120	60	60	75	240	60	143	210	153	107	222	120	180	107	258	180	290	267	86	153	153	60	120	120	120	143	120	206	120	163	174	120	120	0	216	180	175	120	60	200	171	120	195	60	124	250	190	129	248	0	166	120	180	120	161	126	120	180	120	135	120	146	209	145	239	192	128	241	249	120	209	179	268	170	225	229	164	213	216	222	139	260	252	
redundantCoverageValue--------	46	50	63	18	43	0	57	0	17	77	11	0	46	21	0	3	0	0	0	0	45	0	0	37	150	27	13	18	0	0	13	42	0	70	33	34	87	87	0	0	0	0	37	0	34	0	17	66	0	0	0	24	0	5	0	0	40	69	0	45	0	176	50	110	51	232	0	74	0	0	0	139	54	0	0	0	45	0	94	91	35	61	48	52	119	51	0	151	61	212	10	75	71	16	87	24	18	101	40	48	
halfCoverageTime--------------	.0	.0	4013708.0	.0	20345766.0	.0	.0	.0	19664420.0	.0	.0	.0	.0	4013736.0	11797917.0	.0	.0	.0	.0	.0	.0	3950210.0	.0	.0	19663973.0	.0	.0	20345796.0	.0	20344798.0	.0	19663968.0	19698218.0	19664376.0	14319426.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	19664388.0	.0	.0	.0	.0	.0	.0	14319512.0	14319506.0	.0	.0	.0	11127734.0	.0	.0	757857.0	.0	.0	14319570.0	19664092.0	.0	14319540.0	.0	.0	.0	14319534.0	.0	.0	.0	.0	4293008.0	.0	.0	.0	.0	14319488.0	.0	14319480.0	14319450.0	.0	4805094.0	19664086.0	.0	11127696.0	.0	3951105.0	.0	4013760.0	14343350.0	.0	14319629.0	4013772.0	20344792.0	.0	4805100.0	4013576.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	4	2	1	2	2	1	6	2	2	4	7	2	0	1	5	5	2	5	1	4	6	5	3	5	2	4	3	3	5	4	3	1	1	4	3	1	2	2	3	4	3	3	2	4	5	4	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	7.48	6.77	7.76	7.14	7.5	6.6	10.45	6.58	4.19	8.49	6.18	2.77	9.7	7.8	7.56	5.32	.0	6.93	7.87	9.92	4.3	9.68	4.1	8.1	8.73	6.33	8.89	9.96	4.74	7.47	9.56	8.82	8.54	8.84	9.63	3.98	3.26	7.78	8.05	1.3	8.06	1.53	7.92	8.9	6.72	7.99	6.22	8.88	8.79	9.34	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2220	2700	3000	3420	2580	2220	2520	2160	2700	2160	2700	1680	3120	2400	2400	1800	2460	1680	2880	2940	3120	2400	1860	2340	2700	2040	1920	2460	2100	2700	1800	3060	2820	2880	2880	2100	2580	3480	1920	2880	2160	1980	2520	3360	2940	2460	2940	3360	1920	1740	2160	2820	2160	1860	3000	1980	2280	1920	2280	2100	2400	2400	2040	2280	1980	2460	2460	1980	2400	1860	2520	2640	2400	1860	2280	2700	2220	1980	1740	3180	2400	2280	2160	1860	2520	2880	2100	2460	1800	2460	2160	2280	2940	2520	3060	2820	2220	2820	2520	3180	
additionalPoiTime-------------	9.287987538E8
algorithmTime-----------------	9.0324579E7
serverTime--------------------	6583242.2
Total Transferred Metadata----	15227

Photo List Size: 4599
Gained Coverage %-------------	0.4349722222222222
Gained Redundancy %-----------	0.01581048818638347
Total Cluster Created---------	51
Total Transferred Photo-------	1148
Total Photo at Destination----	325
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	2	8	3	23	13	20	9	12	9	1	0	0	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	2	0	8	6	31	22	12	14	4	1	0	
Redundant Ratio---------------	36	64	0	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	
NumOfPoint Distribution-------	1	7	12	9	11	7	2	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	51	2	1	2	4	1	8	11	12	7	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	1	10	0	3	11	0	12	0	0	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1997	865	80	622	311	298	354	221	200	197	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.605263157894736	20.789473684210527	20.95175438596491	21.13157894736842	20.55263157894737	20.70614035087719	20.916666666666668	21.096491228070175	21.021929824561404	20.837719298245613	21.18859649122807	
Nodes Above Average-----------	119	121	122	111	119	120	122	111	110	121	111	
Nodes Below Average-----------	109	107	106	117	109	108	106	117	118	107	117	

Average Coverage--------------	1215.8333333333333	1226.017543859649	1233.8947368421052	1244.2894736842106	1212.8026315789473	1221.219298245614	1232.3859649122808	1242.1842105263158	1237.8464912280701	1227.657894736842	1247.3026315789473	
Nodes Above Average-----------	117	118	117	118	118	117	118	118	117	117	118	
Nodes Below Average-----------	111	110	111	110	110	111	110	110	111	111	110	
Photos Above Average----------	26	26	27	27	26	26	27	27	27	27	27	
Photos Below Average----------	14	14	14	14	14	14	14	14	14	14	14	
Network Coverage--------------	36000	36000	36000	36000	36000	36000	36000	36000	36000	36000	36000	

Average Redundancy------------	20.482456140350877	21.350877192982455	23.210526315789473	23.605263157894736	20.355263157894736	21.149122807017545	22.614035087719298	23.605263157894736	23.469298245614034	22.605263157894736	24.013157894736842	
Nodes Above Average-----------	82	82	82	84	81	81	81	84	83	81	84	
Nodes Below Average-----------	146	146	146	144	147	147	147	144	145	147	144	
Photos Above Average----------	24	25	25	26	24	24	25	26	25	25	26	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	245880	248400	250620	253080	245160	247260	250140	252600	251580	249060	253860	

