Message stats for scenario S_5-Photo_5000-Scenario_4-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4546
coverageValue-----------------	360	354	360	360	360	355	360	354	358	360	336	353	360	360	360	350	350	360	354	360	360	281	358	336	359	360	336	318	356	360	360	327	348	316	360	360	354	277	355	351	360	358	351	348	352	331	307	330	349	345	212	236	234	247	278	322	261	244	232	316	341	189	250	245	278	205	337	299	195	262	183	343	215	198	252	329	263	224	287	204	235	230	175	263	280	276	280	281	232	218	245	195	213	235	303	265	207	268	283	231	
redundantCoverageValue--------	300	306	300	240	180	365	360	186	182	240	384	307	180	300	180	190	430	300	306	240	300	199	542	384	421	180	264	282	304	420	300	393	312	344	300	420	426	203	545	369	360	242	489	192	128	449	233	150	431	195	208	484	366	173	202	398	339	116	188	464	379	411	230	115	442	335	503	301	225	38	177	377	85	222	228	331	217	136	313	156	185	250	245	337	380	84	140	259	368	202	115	45	207	305	117	275	213	152	197	189	
halfCoverageTime--------------	10682164.0	12059877.0	4023080.0	757846.0	10682363.0	4299384.0	6258806.0	4805105.0	1968336.0	10682358.0	10682520.0	11280720.0	10682502.0	10682617.0	10682622.0	1500276.0	4013600.0	11127954.0	4205567.0	11127360.0	1509689.0	10682324.0	4014558.0	10682270.0	4205562.0	4205588.0	14141302.0	12059992.0	10682628.0	4014553.0	5227444.0	10682082.0	11127568.0	10682444.0	6791302.0	10682480.0	4292996.0	12072008.0	12059866.0	11127438.0	3951085.0	1512746.0	11199590.0	13201580.0	10682664.0	10682346.0	1494362.0	3951115.0	11127376.0	12334392.0	1017650.0	12566048.0	2646740.0	12060016.0	138434.0	2646716.0	3719502.0	19663962.0	4805110.0	147349.0	138520.0	17846604.0	11974262.0	10868284.0	3719538.0	13203735.0	147372.0	1500270.0	9971170.0	757825.0	29932604.0	4205577.0	4013730.0	4299378.0	1494373.0	952116.0	8344494.0	757803.0	8344505.0	12565116.0	4205610.0	147326.0	.0	1261030.0	3951100.0	12567356.0	10682094.0	3719496.0	12854538.0	4293002.0	10682242.0	14406558.0	2026138.0	10682134.0	9971158.0	1431192.0	6258818.0	11451306.0	3951120.0	12060010.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	5	4	3	1	3	4	2	3	3	2	7	2	3	3	3	3	3	2	5	6	2	2	1	8	3	4	1	2	3	1	2	3	11	2	4	3	5	2	3	3	2	4	8	2	1	5	7	2	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	7.18	8.53	9.53	8.49	5.42	4.88	7.24	8.25	5.15	7.2	5.93	9.97	9.14	5.06	8.97	7.75	8.32	7.55	6.07	5.54	7.09	6.25	10.32	1.08	3.16	9.23	9.58	8.75	2.18	5.21	9.33	1.7	7.63	8.07	6.77	6.25	10.48	7.12	4.86	5.18	8.1	10.75	5.09	6.94	7.09	7.09	1.8	6.72	8.21	9.86	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	355	360	360	360	360	360	360	360	360	360	360	360	351	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2820	2520	3000	3060	2100	2340	2340	2700	2520	2400	2280	2100	2460	2040	2280	2400	2580	2400	2460	2640	2640	2345	2400	2400	2760	3240	2700	2640	2520	2880	2400	2580	1800	1689	2580	2640	2340	2820	2580	2460	2040	2340	2220	2220	1800	3000	2160	2760	1800	2040	1680	2400	2580	1920	2160	2940	3060	2400	2400	2460	2040	2100	1860	2640	3120	3720	3480	2760	3000	2280	1800	2220	2520	2880	2040	2400	2340	2700	2220	2220	2760	2220	2400	2280	1920	1920	2400	2700	2400	2160	1920	2280	2400	2160	1980	2220	2940	2040	2580	2820	
additionalPoiTime-------------	9.268955416E8
algorithmTime-----------------	7.82813018E7
Total Transferred Metadata----	14871

Photo List Size: 4546
Gained Coverage %-------------	0.8331851275496026
Gained Redundancy %-----------	0.11386244518130281
Total Cluster Created---------	50
Total Transferred Photo-------	2852
Total Photo at Destination----	964
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	0	0	1	8	13	12	11	9	46	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	0	0	1	11	16	16	6	50	
Redundant Ratio---------------	0	45	49	6	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	
NumOfPoint Distribution-------	0	5	13	15	6	5	1	2	2	0	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	3	1	1	2	8	6	10	9	7	3	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	22	26	3	40	5	1	1	0	0	1	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3632	763	444	2480	2027	734	342	1423	350	502	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.401785714285715	20.642857142857142	21.522321428571427	21.919642857142858	20.486607142857142	20.549107142857142	21.080357142857142	21.803571428571427	21.522321428571427	21.375	22.026785714285715	
Nodes Above Average-----------	115	113	107	106	113	112	102	106	106	107	99	
Nodes Below Average-----------	109	111	117	118	111	112	122	118	118	117	125	

Average Coverage--------------	1199.388392857143	1212.3660714285713	1261.6607142857142	1285.2098214285713	1203.25	1206.857142857143	1237.017857142857	1278.2767857142858	1262.3035714285713	1253.424107142857	1291.4419642857142	
Nodes Above Average-----------	119	112	106	104	113	112	112	105	105	114	104	
Nodes Below Average-----------	105	112	118	120	111	112	112	119	119	110	120	
Photos Above Average----------	26	27	29	30	26	26	28	30	29	28	30	
Photos Below Average----------	14	14	14	14	14	14	14	14	14	13	14	
Network Coverage--------------	35979	35979	35979	35979	35979	35979	35979	35979	35979	35979	35979	

Average Redundancy------------	24.71875	26.205357142857142	29.678571428571427	29.96875	25.946428571428573	26.089285714285715	27.803571428571427	29.9375	29.035714285714285	29.075892857142858	30.165178571428573	
Nodes Above Average-----------	86	87	87	88	89	87	89	88	87	87	87	
Nodes Below Average-----------	138	137	137	136	135	137	135	136	137	137	137	
Photos Above Average----------	24	25	27	28	24	24	26	28	27	27	28	
Photos Below Average----------	18	17	17	17	17	17	17	17	17	17	17	
Network Redundancy------------	238221	241461	253281	258621	239361	240201	247341	257061	253281	251301	260061	

