Message stats for scenario S_9-Photo_5000-Scenario_6-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 2031
coverageValue-----------------	360	346	352	360	360	337	330	360	360	356	292	353	360	303	360	360	318	322	334	340	359	331	360	346	345	298	360	360	360	349	357	360	333	360	360	360	360	360	288	349	357	350	351	340	227	360	360	357	347	360	359	360	255	360	345	360	360	360	347	343	360	352	349	309	360	327	349	359	340	360	347	316	333	360	360	360	360	360	360	357	360	360	360	360	333	345	320	347	360	310	360	356	356	360	360	347	344	360	345	360	
redundantCoverageValue--------	1260	554	1028	1020	780	863	630	1260	780	724	548	907	1200	657	1020	720	522	878	866	440	1021	869	960	674	735	422	720	720	840	1151	1443	900	567	900	900	1020	1620	1080	732	791	1083	430	849	680	313	780	1080	1023	733	1080	1081	840	765	1380	615	900	780	1080	613	797	840	1088	911	831	840	693	1091	841	800	600	553	764	567	900	1080	960	540	840	900	363	1620	840	1200	840	627	1095	580	433	720	710	900	604	544	960	1080	793	796	780	375	780	
halfCoverageTime--------------	382426.0	6791302.0	757880.0	4023322.0	6959782.0	10509360.0	4013736.0	757862.0	1440204.0	10510642.0	4023282.0	1499760.0	4014536.0	10510601.0	5576285.0	11127432.0	5576274.0	6959816.0	4023317.0	4205588.0	4013623.0	11280768.0	10519104.0	10509378.0	10681668.0	4013702.0	1500287.0	11791580.0	10510972.0	10510978.0	4013754.0	10510920.0	10523584.0	3719502.0	3719526.0	6959806.0	2646740.0	10680732.0	11979376.0	5576290.0	1500264.0	10509958.0	1495317.0	1953110.0	19748324.0	4205605.0	10509332.0	9971206.0	9971158.0	3719520.0	10509946.0	4013724.0	10511002.0	10519044.0	4804346.0	1968374.0	3951056.0	10509280.0	4023406.0	490412.0	10509922.0	757973.0	4013718.0	138468.0	6959822.0	10509392.0	4205616.0	10509900.0	12059882.0	10681634.0	10511046.0	3951044.0	11280751.0	2646716.0	4013600.0	10509816.0	10510612.0	10509519.0	3950226.0	1953042.0	3951105.0	10790094.0	1593890.0	1953116.0	11280746.0	6959749.0	10509514.0	10680750.0	10511012.0	4205642.0	6959788.0	10509952.0	4023288.0	3950210.0	1953048.0	4013696.0	9971200.0	4014582.0	10509964.0	11127450.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1	1	2	2	1	2	1	2	3	1	1	2	3	2	2	3	2	2	2	1	1	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	5.8	2.57	8.41	7.37	4.96	2.0	1.58	9.28	6.45	6.39	5.59	.3	8.56	9.06	.6	2.18	8.69	8.02	5.99	5.87	7.97	6.84	6.68	6.53	2.41	5.15	6.0	10.04	8.25	6.02	5.5	1.5	7.47	9.41	7.56	4.24	5.2	5.85	8.41	5.71	5.32	7.27	4.76	.1	1.53	4.74	3.32	5.48	6.59	9.24	
initialCoverageValue----------	360	360	360	360	360	357	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2640	1860	3180	2340	2280	2343	2220	2460	1860	2400	2100	2520	3120	2280	2580	2100	2640	2520	2400	2100	2460	2580	1980	2100	2340	1860	2520	2880	2520	2520	2700	3060	1920	2640	2520	2340	3240	2820	2280	2340	2880	2040	2400	2160	1980	2400	2940	2580	2280	2640	2460	3000	2700	3060	1920	2160	2220	2520	2460	2160	2280	2700	2160	2640	2460	2340	2460	2280	2700	1860	2040	2520	2160	1980	2640	2340	2340	2760	3240	2580	3060	2580	2580	2520	2040	2520	2100	2040	2400	2340	2520	2460	2100	2220	2760	2940	2520	2460	1500	1860	
additionalPoiTime-------------	15600.1
algorithmTime-----------------	6.383248918E8
serverTime--------------------	4.26194732E7
Total Transferred Metadata----	8696

Photo List Size: 2031
Gained Coverage %-------------	0.9627746756674167
Gained Redundancy %-----------	0.3459589399768269
Total Cluster Created---------	0
Total Transferred Photo-------	13353
Total Photo at Destination----	2103
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	0	0	0	0	1	1	3	9	86	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	0	0	0	0	1	2	9	88	
Redundant Ratio---------------	0	0	3	27	44	23	3	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	
NumOfPoint Distribution-------	0	18	28	4	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	53	3	4	1	4	11	8	5	6	4	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	19	31	7	42	0	0	1	0	0	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3589	2386	1036	6206	5707	2792	1907	2040	532	1872	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.2	22.37727272727273	25.713636363636365	26.23181818181818	21.695454545454545	22.177272727272726	23.854545454545455	26.19090909090909	26.068181818181817	25.477272727272727	26.795454545454547	
Nodes Above Average-----------	111	103	109	107	108	102	106	106	105	108	113	
Nodes Below Average-----------	109	117	111	113	112	118	114	114	115	112	107	

Average Coverage--------------	1190.1636363636364	1315.0636363636363	1506.4136363636364	1535.909090909091	1274.740909090909	1302.7	1397.5363636363636	1533.2363636363636	1527.290909090909	1491.740909090909	1567.5272727272727	
Nodes Above Average-----------	114	104	107	111	106	104	104	111	110	112	112	
Nodes Below Average-----------	106	116	113	109	114	116	116	109	110	108	108	
Photos Above Average----------	25	30	36	36	29	30	33	36	36	35	37	
Photos Below Average----------	14	14	15	15	14	14	15	15	15	15	15	
Network Coverage--------------	35995	35994	35959	35959	35994	35994	35976	35959	35959	35959	35947	

Average Redundancy------------	21.836363636363636	27.572727272727274	36.404545454545456	38.0	26.986363636363638	27.936363636363637	33.736363636363635	38.21818181818182	36.8	36.89545454545455	40.2	
Nodes Above Average-----------	79	89	93	90	89	89	85	90	95	94	97	
Nodes Below Average-----------	141	131	127	130	131	131	135	130	125	126	123	
Photos Above Average----------	23	28	33	33	26	27	31	33	33	33	34	
Photos Below Average----------	18	18	19	20	18	18	19	20	20	19	20	
Network Redundancy------------	230645	259386	303461	310301	250386	256746	278904	309761	308141	300341	317753	

