Message stats for scenario Photo_5000-Scenario_4-ActualPOI_50-K_1
sim_time: 31622400.0000

Photo List Size: 4642
coverageValue-----------------	180	216	309	212	323	183	258	204	121	177	262	203	202	208	244	232	60	192	212	146	307	253	204	224	253	188	120	237	224	193	288	356	0	271	266	263	229	238	270	230	120	169	60	312	131	325	197	220	120	242	284	246	290	258	264	233	240	301	168	224	260	120	273	177	308	203	134	300	106	129	321	283	288	120	261	314	273	290	323	169	177	249	220	230	318	293	286	274	153	299	183	194	292	174	226	254	137	222	264	246	
redundantCoverageValue--------	0	144	231	148	157	57	162	96	59	63	158	217	98	92	116	8	0	48	88	154	173	347	96	76	287	112	0	63	136	47	12	424	0	209	214	97	131	122	90	190	0	71	0	228	49	215	103	80	0	298	136	114	130	282	216	247	0	119	132	76	100	0	267	63	292	217	106	180	14	51	339	137	312	0	159	346	267	70	337	71	183	111	20	70	462	247	134	266	147	361	117	46	188	246	194	106	163	18	216	174	
halfCoverageTime--------------	12613386.0	19748306.0	4292996.0	12574268.0	13511486.0	12613392.0	4013742.0	12651514.0	.0	.0	29426825.0	11280746.0	14343054.0	29433812.0	12651425.0	13287572.0	.0	14319421.0	14319514.0	.0	12574304.0	20344774.0	12566048.0	20347958.0	11280806.0	12651519.0	.0	12566054.0	14319416.0	29617270.0	11797912.0	12651470.0	.0	12651464.0	16050790.0	12613398.0	12651498.0	20345784.0	16050778.0	11791592.0	.0	.0	.0	11280768.0	.0	4013778.0	20345808.0	4014628.0	.0	13202194.0	13227660.0	1241036.0	12566066.0	11280812.0	28384892.0	12565110.0	13201574.0	13212904.0	.0	19667092.0	14343345.0	.0	15535538.0	.0	757896.0	14319604.0	.0	13278400.0	.0	.0	3949508.0	13267054.0	147820.0	.0	12651476.0	11280774.0	11280731.0	19664410.0	1083520.0	.0	.0	14141317.0	16050802.0	29426888.0	1241042.0	138514.0	4805094.0	12566016.0	.0	1261020.0	13084924.0	12665010.0	330549.0	.0	20345866.0	19664470.0	.0	14319574.0	11791586.0	12651454.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	1	4	5	5	7	2	3	3	2	2	1	4	2	3	5	4	4	2	3	1	3	2	2	2	5	2	2	2	4	3	3	7	2	4	6	1	1	3	1	2	3	1	3	2	3	2	3	2	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	7.56	8.9	7.77	7.47	8.28	9.54	7.76	9.38	4.8	6.83	5.13	3.96	7.45	5.42	5.8	7.75	6.18	8.44	7.25	4.56	5.09	2.56	6.74	6.71	4.93	5.35	8.07	6.32	6.3	6.61	7.91	7.13	7.7	5.02	5.1	4.64	6.74	5.54	2.75	10.54	1.33	7.3	7.73	4.88	9.0	5.84	9.19	8.36	8.14	7.06	
initialCoverageValue----------	360	360	343	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2220	2280	1697	1860	1860	2400	2400	2940	2460	2700	1980	2640	2400	3060	2340	2160	1920	1980	2280	2460	2880	2400	2340	2100	2100	3060	2100	2160	2340	2280	2220	3120	1740	2280	3060	2460	2340	2100	1980	3060	2880	2640	2700	2520	1860	2460	2280	2640	3240	2400	2520	2280	2700	2640	3000	2520	2520	2640	2340	2400	2940	3180	2040	2220	2520	2340	2400	2580	2580	1800	2460	2460	2400	2580	1860	2220	2580	2160	2280	2220	2760	1680	2520	2640	2640	2640	1980	2160	2280	2700	2580	2340	2700	2700	2460	2460	2220	2340	2880	3060	
additionalPoiTime-------------	1.0088116667E9
algorithmTime-----------------	8.73293598E7
serverTime--------------------	5.86095757E7
Total Transferred Metadata----	15086

Photo List Size: 4642
Gained Coverage %-------------	0.6254342328321707
Gained Redundancy %-----------	0.05852274832542188
Total Cluster Created---------	50
Total Transferred Photo-------	1926
Total Photo at Destination----	620
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	1	2	0	6	6	9	13	18	18	15	11	1	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	1	0	2	1	10	10	16	20	22	15	3	
Redundant Ratio---------------	10	74	16	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	
NumOfPoint Distribution-------	0	7	16	13	7	4	1	2	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	1	2	1	5	9	8	13	6	4	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	8	6	0	19	27	3	9	0	1	4	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3673	996	360	1855	2266	400	651	374	202	672	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	20.955947136563875	21.54625550660793	21.766519823788546	20.722466960352424	20.82819383259912	21.277533039647576	21.73568281938326	21.629955947136565	21.484581497797357	21.938325991189426	
Nodes Above Average-----------	118	118	117	119	118	118	113	119	118	116	121	
Nodes Below Average-----------	109	109	110	108	109	109	114	108	109	111	106	

Average Coverage--------------	1210.4008810572686	1233.1321585903083	1267.1762114537446	1280.1850220264316	1219.9911894273127	1225.8678414096917	1251.3303964757708	1278.0308370044054	1272.1762114537446	1263.8546255506608	1289.409691629956	
Nodes Above Average-----------	117	116	116	116	116	116	118	116	115	115	116	
Nodes Below Average-----------	110	111	111	111	111	111	109	111	112	112	111	
Photos Above Average----------	26	27	28	28	26	27	27	28	28	28	29	
Photos Below Average----------	14	14	14	14	14	14	14	14	14	14	14	
Network Coverage--------------	35983	35965	35965	35965	35983	35965	35965	35965	35965	35965	35965	

Average Redundancy------------	22.90308370044053	24.22466960352423	25.599118942731277	25.80616740088106	23.356828193832598	23.823788546255507	25.3215859030837	26.110132158590307	25.621145374449338	25.220264317180618	26.889867841409693	
Nodes Above Average-----------	82	78	80	79	79	79	80	81	80	79	82	
Nodes Below Average-----------	145	149	147	148	148	148	147	146	147	148	145	
Photos Above Average----------	24	25	26	27	24	25	26	26	26	26	27	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	243977	249455	257495	260495	246257	247715	253835	260075	258635	256655	262835	

