Message stats for scenario Photo_5000-Scenario_6-ActualPOI_50-K_1
sim_time: 31622400.0000

Photo List Size: 651
coverageValue-----------------	248	289	258	256	237	305	305	161	266	120	195	255	258	278	180	249	199	208	172	325	332	179	205	242	111	259	188	249	260	360	228	341	131	242	120	216	333	331	215	290	233	333	189	268	303	205	316	271	241	239	144	208	297	257	173	120	239	249	340	145	211	256	231	120	311	286	300	251	360	316	240	190	269	189	140	221	360	313	348	351	191	217	221	173	0	249	296	301	225	307	223	112	284	173	298	311	114	237	278	220	
redundantCoverageValue--------	232	71	222	164	183	235	235	79	154	0	105	45	222	202	0	51	101	32	68	275	148	61	95	238	129	221	112	111	160	540	72	259	49	58	0	84	147	149	145	250	127	267	111	32	177	35	284	329	179	181	36	152	363	103	67	0	121	171	380	95	89	224	9	60	169	134	180	109	420	104	60	50	331	51	40	79	420	167	372	249	49	203	79	67	0	51	244	239	75	113	137	128	16	67	182	109	66	183	202	260	
halfCoverageTime--------------	12566036.0	19667104.0	3951105.0	4293019.0	11280741.0	13278400.0	2026132.0	.0	4014588.0	.0	20344810.0	1017679.0	12567356.0	4023252.0	12567362.0	4804341.0	29426876.0	19748318.0	.0	330544.0	13511468.0	.0	16050772.0	12565382.0	.0	14319432.0	29617264.0	16050755.0	14319438.0	4014542.0	13278394.0	4014600.0	.0	14319586.0	.0	13227666.0	13377559.0	12665010.0	14343054.0	4014628.0	13267072.0	4023270.0	13202194.0	4023317.0	16050784.0	29617275.0	12613392.0	15627716.0	12665962.0	29426814.0	.0	14319480.0	1241036.0	13511452.0	.0	.0	20345832.0	12574292.0	12581052.0	.0	2026144.0	4013713.0	28384886.0	.0	4013718.0	11797912.0	4014594.0	4299378.0	4013736.0	14141290.0	19667110.0	13287584.0	12565126.0	19664437.0	.0	.0	4014548.0	17846474.0	382426.0	3951068.0	11797928.0	12574274.0	20345814.0	.0	.0	12613386.0	4013760.0	12581022.0	14319462.0	12651464.0	14319508.0	.0	12566060.0	.0	12613085.0	12581046.0	.0	4804346.0	13212916.0	15535538.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	0	1	2	1	1	1	2	0	2	1	1	1	1	1	1	0	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	4.41	.0	2.6	6.83	4.0	3.45	3.13	9.22	6.5	5.46	3.67	3.28	9.28	.0	4.98	10.38	7.73	7.58	2.77	7.16	5.39	7.4	.41	7.88	10.18	3.62	3.79	7.29	6.9	8.8	6.85	8.3	5.5	5.32	.0	2.92	9.38	4.19	4.74	2.2	6.89	.0	6.75	2.2	4.4	3.32	7.21	6.43	6.28	.0	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	356	354	360	360	360	360	360	360	360	360	360	358	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2520	2160	2640	1980	2760	2160	2400	2580	2700	2400	2280	1860	2580	2040	2520	2280	1980	2700	2820	3180	2340	2404	2586	2460	2580	2580	2340	2460	1800	3000	1920	2520	2222	2640	1920	2520	2160	2760	1920	2160	2220	2580	2220	2640	1800	2160	2700	2820	2640	2220	1800	2520	2220	2760	2940	1920	2220	1800	2700	2760	2520	2760	1920	2580	2280	2160	2400	1620	2640	2520	2160	2460	2760	1860	2520	2580	3180	2940	2580	2280	2640	2760	2280	1860	1860	2400	2520	3060	2400	3060	2520	2760	2880	2160	2580	2100	2700	2400	1860	2880	
additionalPoiTime-------------	40000.0
algorithmTime-----------------	1.0487E8
serverTime--------------------	1040000.0
Total Transferred Metadata----	8239

Photo List Size: 651
Gained Coverage %-------------	0.6685283983550072
Gained Redundancy %-----------	0.06078008202685718
Total Cluster Created---------	0
Total Transferred Photo-------	6441
Total Photo at Destination----	651
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	1	0	0	7	4	7	11	17	20	11	11	11	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	1	0	0	0	10	7	15	23	16	16	12	
Redundant Ratio---------------	5	80	15	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	
NumOfPoint Distribution-------	5	35	10	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	56	0	5	8	5	4	8	7	2	3	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	6	19	0	17	23	4	7	0	1	4	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1948	1682	574	1813	4074	959	1787	764	207	2103	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.854625550660792	23.625550660792953	24.048458149779737	21.237885462555067	21.779735682819382	22.352422907488986	24.008810572687224	23.986784140969164	23.559471365638768	24.748898678414097	
Nodes Above Average-----------	118	114	115	112	112	114	110	112	119	115	118	
Nodes Below Average-----------	109	113	112	115	115	113	117	115	108	112	109	

Average Coverage--------------	1214.8502202643172	1289.374449339207	1389.352422907489	1413.1453744493392	1253.259911894273	1285.2070484581498	1316.863436123348	1410.7665198237885	1409.7356828193833	1385.4273127753304	1453.52422907489	
Nodes Above Average-----------	116	112	113	117	120	112	113	117	117	114	116	
Nodes Below Average-----------	111	115	114	110	107	115	114	110	110	113	111	
Photos Above Average----------	26	29	32	32	27	29	30	32	32	32	33	
Photos Below Average----------	14	14	14	14	14	14	14	14	14	14	15	
Network Coverage--------------	35988	35988	35988	35988	35988	35988	35988	35988	35988	35988	35988	

Average Redundancy------------	18.45374449339207	21.90308370044053	28.180616740088105	29.762114537444933	21.013215859030836	21.577092511013216	24.281938325991188	29.762114537444933	29.47136563876652	28.140969162995596	31.409691629955947	
Nodes Above Average-----------	81	78	76	79	75	78	76	79	78	76	83	
Nodes Below Average-----------	146	149	151	148	152	149	151	148	149	151	144	
Photos Above Average----------	24	26	31	31	25	26	27	31	31	31	32	
Photos Below Average----------	18	19	19	19	19	19	19	19	19	19	20	
Network Redundancy------------	243972	261672	285792	291552	253272	260652	268452	291012	290712	284892	301092	

