Message stats for scenario Photo_5000-Scenario_4-ActualPOI_50-K_2
sim_time: 31622400.0000

Photo List Size: 4642
coverageValue-----------------	120	190	261	151	197	245	259	236	227	246	138	137	305	224	257	184	195	252	246	218	190	151	269	281	147	194	180	257	238	268	208	239	193	303	245	137	219	257	124	328	282	120	214	174	150	166	160	287	341	165	248	334	277	259	319	307	324	273	191	191	278	219	298	302	307	180	220	128	203	247	255	175	214	336	268	251	284	195	344	204	254	250	211	158	326	274	283	156	205	263	215	200	76	221	295	261	259	301	297	256	
redundantCoverageValue--------	0	170	99	149	43	55	101	4	73	174	42	43	355	76	163	116	165	108	174	82	110	29	211	79	153	286	0	223	62	32	32	301	167	57	55	223	81	103	56	212	138	0	86	6	150	14	80	133	439	135	112	266	143	221	401	173	396	87	109	169	142	261	122	58	233	0	20	52	157	53	285	125	266	384	212	229	436	45	316	96	166	110	89	22	214	146	137	84	95	97	145	100	104	139	185	219	101	299	123	104	
halfCoverageTime--------------	.0	20515144.0	19664410.0	.0	13203730.0	14323172.0	14319462.0	13225160.0	20345872.0	4014628.0	.0	.0	4804352.0	14319502.0	19664442.0	12651448.0	13267084.0	12613096.0	15535533.0	29426882.0	14319562.0	.0	4014763.0	11280746.0	.0	11797917.0	29588092.0	15627698.0	12574286.0	19664470.0	19663968.0	20345796.0	12613386.0	11280812.0	14319526.0	.0	12581040.0	14323155.0	.0	14319532.0	4013708.0	.0	3951068.0	.0	.0	.0	.0	11280780.0	11280786.0	.0	13225148.0	4013796.0	12651459.0	4013784.0	757880.0	490400.0	11451306.0	13267060.0	29186206.0	29426864.0	19748300.0	13212916.0	19708280.0	14141302.0	4805105.0	20345814.0	29674082.0	.0	14343048.0	14319426.0	4014582.0	.0	19664080.0	3949526.0	757896.0	12581028.0	757836.0	4013618.0	11797928.0	19664388.0	13377559.0	19664454.0	29932616.0	.0	4293008.0	4013623.0	12651509.0	.0	29617264.0	11280720.0	12651534.0	2026144.0	.0	29426848.0	3951056.0	11280762.0	20347958.0	382444.0	14141312.0	1261020.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	22	4	7	3	2	2	2	5	3	8	4	4	2	5	3	3	2	3	2	2	8	8	2	1	2	1	2	6	4	4	2	2	2	2	1	2	3	4	2	3	8	4	4	3	1	3	6	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	5.51	8.14	9.26	7.11	8.5	7.72	9.66	6.98	6.1	6.85	7.42	6.19	5.95	6.09	8.38	6.89	10.43	7.62	6.78	6.89	5.95	6.95	5.26	9.49	6.07	5.39	4.7	5.37	7.11	2.16	6.33	6.39	6.68	5.77	8.2	6.22	6.13	2.04	6.07	7.03	8.39	2.99	5.29	6.11	9.84	5.52	8.5	8.32	6.07	5.49	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	357	360	360	360	360	360	360	360	360	332	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2220	2580	2460	3120	2340	2400	2640	2640	2280	3240	2340	2400	3120	2100	2520	2340	2340	2040	2280	1980	2220	2460	2340	2100	3180	2880	2640	2880	2280	2220	2520	2820	1680	2040	2880	2460	2460	2460	2400	2760	2640	2700	2520	1500	2760	2580	2700	2400	2580	2580	2700	2640	3240	2940	2160	1980	3360	2100	1800	2640	2040	2700	2400	1740	2760	1980	2160	2460	2160	1980	2280	2880	2400	2340	2463	1920	2580	2460	2460	2580	2520	2700	2460	1108	2340	2280	2280	1980	2400	2280	3240	2400	1680	2160	2220	2820	1980	2700	2760	2400	
additionalPoiTime-------------	9.214511067E8
algorithmTime-----------------	8.97941756E7
serverTime--------------------	7.60504875E7
Total Transferred Metadata----	15087

Photo List Size: 4642
Gained Coverage %-------------	0.6440824042925852
Gained Redundancy %-----------	0.0579884870654361
Total Cluster Created---------	53
Total Transferred Photo-------	1969
Total Photo at Destination----	628
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	1	2	7	11	15	14	24	12	10	4	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	1	7	13	19	19	24	11	6	
Redundant Ratio---------------	4	83	13	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	
NumOfPoint Distribution-------	0	4	17	11	8	2	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	0	3	0	1	10	18	6	7	4	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	7	14	0	14	24	0	14	0	0	8	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3688	1054	451	1994	2310	512	807	363	227	819	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.568281938325992	22.991189427312776	23.506607929515418	20.969162995594715	21.348017621145374	22.475770925110133	23.45814977973568	23.259911894273127	22.691629955947135	24.079295154185022	
Nodes Above Average-----------	118	107	106	96	118	107	103	96	95	105	91	
Nodes Below Average-----------	109	120	121	131	109	120	124	131	132	122	136	

Average Coverage--------------	1211.9691629955946	1268.5066079295154	1347.4052863436123	1375.647577092511	1235.2863436123348	1255.8370044052863	1318.7092511013216	1373.0132158590309	1362.4008810572686	1330.964757709251	1408.0881057268723	
Nodes Above Average-----------	116	102	102	103	114	111	105	103	102	103	96	
Nodes Below Average-----------	111	125	125	124	113	116	122	124	125	124	131	
Photos Above Average----------	26	29	32	33	27	28	31	33	33	31	35	
Photos Below Average----------	14	15	15	15	14	14	14	15	15	15	15	
Network Coverage--------------	35956	35956	35956	35956	35956	35956	35956	35956	35956	35956	35956	

Average Redundancy------------	21.334801762114537	25.590308370044053	32.06607929515418	34.74889867841409	22.863436123348016	25.044052863436125	29.837004405286343	34.47577092511013	33.19383259911894	30.53303964757709	36.669603524229075	
Nodes Above Average-----------	83	77	77	77	81	76	74	77	77	76	75	
Nodes Below Average-----------	144	150	150	150	146	151	153	150	150	151	152	
Photos Above Average----------	23	27	31	33	25	26	30	33	32	30	35	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	244004	257804	277184	284204	249644	254804	270164	283544	280844	273104	292004	

