Message stats for scenario K_2-Photo_5000-Scenario_4-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 10395
coverageValue-----------------	237	308	294	120	351	355	349	269	244	328	332	279	130	312	250	185	194	240	210	226	131	213	215	226	288	223	347	266	315	252	307	330	254	300	245	274	293	276	160	192	127	274	351	294	261	212	150	331	180	273	110	295	120	97	245	239	335	180	298	214	120	348	301	217	176	178	237	273	257	167	241	138	249	191	263	283	236	263	147	287	282	262	199	233	192	120	221	345	265	148	242	228	192	125	267	182	296	153	257	239	
redundantCoverageValue--------	63	172	66	0	369	185	191	271	56	152	268	81	50	168	110	115	46	0	90	14	49	147	85	134	132	137	193	94	105	48	113	270	166	120	115	146	307	144	80	48	53	26	189	186	159	148	150	149	0	87	10	125	0	23	55	121	265	0	62	146	0	312	239	203	64	62	123	387	163	13	119	102	51	49	457	137	184	217	213	73	198	158	41	127	48	0	139	135	155	212	178	132	48	55	93	58	364	87	43	61	
halfCoverageTime--------------	13278384.0	11791592.0	13202212.0	.0	13084914.0	12574262.0	4014606.0	757808.0	29186218.0	4014752.0	12574304.0	12566066.0	.0	4013736.0	13267054.0	19664460.0	14319500.0	4805110.0	11797928.0	16050760.0	.0	4804346.0	19748324.0	4299384.0	20345772.0	14319416.0	3951080.0	12651448.0	12651476.0	19663973.0	12665016.0	14319512.0	13225148.0	14319444.0	13278400.0	11280720.0	12566048.0	12651420.0	.0	19663968.0	.0	19664388.0	11791586.0	4023080.0	13201574.0	20344780.0	.0	19667110.0	20345808.0	14319540.0	.0	757814.0	.0	.0	13201562.0	757868.0	1083508.0	19664415.0	13607026.0	14323155.0	.0	12565182.0	11797912.0	11127751.0	.0	.0	17846466.0	3950220.0	12566102.0	.0	19667092.0	.0	4014628.0	4013612.0	3951062.0	4799226.0	13202200.0	13227660.0	.0	3949526.0	1261014.0	3950215.0	16050766.0	17846478.0	20515138.0	.0	13267072.0	2026132.0	13607020.0	.0	757880.0	12665010.0	15535538.0	.0	13377554.0	19664688.0	1241036.0	.0	4013724.0	12565116.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	3	7	7	2	3	4	4	2	9	1	3	2	2	4	3	2	5	2	1	2	1	2	2	2	4	3	6	7	5	3	5	4	4	3	2	3	2	3	3	3	5	3	1	1	3	1	1	2	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	10.15	5.03	7.27	6.74	8.12	6.11	7.08	6.76	5.66	5.09	7.37	1.33	6.04	5.41	5.21	8.41	8.54	4.97	5.16	10.12	3.07	9.79	6.09	4.33	5.07	5.29	7.49	9.38	8.48	7.49	8.17	7.33	7.65	9.41	7.93	5.86	5.05	8.15	6.76	6.15	6.63	8.56	6.54	7.41	5.78	4.0	7.33	1.3	7.1	5.45	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	352	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	341	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2460	2640	1980	2340	2820	2460	2580	2880	2160	3060	2700	2520	2100	2520	2340	2940	2228	2460	2820	2760	2460	2160	1620	2580	2280	2340	2880	1740	2040	2760	2460	2760	3000	1740	2400	2100	2340	2100	2100	2220	2220	2160	2100	2220	2179	2280	2040	2700	2280	1620	2520	2580	2640	1980	2460	2220	2820	2040	1920	2940	2820	2580	2820	2700	2520	2640	2340	2700	2580	2940	2760	2220	1800	2460	2460	1740	2340	2400	3060	3420	2400	2100	1800	2100	3000	2820	1740	1920	1920	2820	2820	2820	2640	2220	2820	1980	3060	1680	2400	2280	
additionalPoiTime-------------	9.961755857E8
algorithmTime-----------------	7.45840781E7
serverTime--------------------	2.1996141E7
Total Transferred Metadata----	15088

Photo List Size: 10395
Gained Coverage %-------------	0.6651099435687877
Gained Redundancy %-----------	0.052003463031312265
Total Cluster Created---------	50
Total Transferred Photo-------	1945
Total Photo at Destination----	610
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	6	8	7	9	17	19	17	7	10	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	1	10	10	13	21	21	12	12	
Redundant Ratio---------------	7	87	6	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	
NumOfPoint Distribution-------	0	7	14	13	6	5	1	3	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	2	0	1	3	12	9	11	7	3	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	8	16	0	13	26	4	13	0	0	1	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3663	895	432	1755	2047	432	600	356	226	644	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.572687224669604	22.929515418502202	23.405286343612335	21.008810572687224	21.36123348017621	22.444933920704845	23.370044052863435	23.176211453744493	22.691629955947135	23.973568281938327	
Nodes Above Average-----------	118	108	108	98	109	107	106	98	97	107	101	
Nodes Below Average-----------	109	119	119	129	118	120	121	129	130	120	126	

Average Coverage--------------	1214.3568281938326	1270.1189427312775	1344.612334801762	1370.1938325991189	1238.4669603524228	1258.0176211453745	1318.590308370044	1368.6651982378855	1357.3215859030836	1332.3832599118944	1402.6651982378855	
Nodes Above Average-----------	115	107	104	102	114	110	105	103	103	104	99	
Nodes Below Average-----------	112	120	123	125	113	117	122	124	124	123	128	
Photos Above Average----------	26	29	32	33	27	28	31	33	33	31	35	
Photos Below Average----------	14	14	14	15	14	14	14	15	14	14	15	
Network Coverage--------------	35973	35952	35940	35932	35952	35952	35952	35932	35932	35946	35932	

Average Redundancy------------	18.94713656387665	24.24229074889868	31.158590308370044	34.12334801762115	22.061674008810574	23.65638766519824	28.105726872246695	33.5374449339207	33.25110132158591	29.11453744493392	35.74889867841409	
Nodes Above Average-----------	82	81	71	67	81	82	71	71	71	73	68	
Nodes Below Average-----------	145	146	156	160	146	145	156	156	156	154	159	
Photos Above Average----------	23	26	31	34	25	26	30	33	32	30	35	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	243987	257868	276360	282848	250188	254988	269748	282368	279728	273114	290588	

