Message stats for scenario Photo_5000-Scenario_7-ActualPOI_50-K_2
sim_time: 31622400.0000

Photo List Size: 4642
coverageValue-----------------	288	235	188	297	214	180	163	359	346	258	165	180	268	148	211	180	216	267	292	120	147	168	243	126	173	238	195	147	342	192	180	195	160	310	180	223	254	200	193	295	265	284	232	241	259	313	130	204	269	161	245	265	265	299	287	240	284	297	226	275	220	287	130	216	180	301	139	171	195	262	328	210	251	157	238	205	216	322	243	202	315	214	297	263	294	260	250	339	183	289	188	285	357	177	274	216	277	352	197	282	
redundantCoverageValue--------	192	185	52	183	146	0	77	241	314	102	135	0	152	32	89	0	84	93	488	0	93	12	117	54	67	242	45	33	198	108	0	105	80	170	0	197	46	40	47	125	155	196	128	179	41	227	50	96	91	79	55	95	215	241	73	0	196	63	134	85	560	373	50	144	180	179	41	189	45	98	392	90	109	83	122	95	24	278	237	158	285	86	423	277	126	40	50	321	57	191	112	195	483	63	386	24	203	128	43	18	
halfCoverageTime--------------	11280774.0	12651524.0	14319586.0	12651476.0	19664393.0	14319421.0	.0	12613085.0	11280817.0	4013612.0	.0	14319474.0	14319416.0	.0	12665010.0	12581016.0	16050755.0	12565388.0	4014600.0	.0	.0	.0	13511468.0	.0	.0	11280726.0	12613398.0	.0	4293019.0	19664432.0	13287572.0	29588102.0	.0	3950215.0	20347964.0	4299378.0	382408.0	12651442.0	13267060.0	757814.0	14319426.0	19664376.0	14319438.0	15535556.0	14141296.0	14319556.0	.0	20345866.0	12613392.0	.0	13227660.0	29588097.0	12651519.0	11451300.0	12651436.0	14141284.0	4292990.0	4014640.0	29426870.0	15535538.0	12574262.0	12581052.0	.0	1261020.0	29433796.0	1261014.0	.0	.0	14343345.0	14141317.0	4013582.0	330544.0	12665016.0	.0	4014564.0	13267084.0	12651514.0	11280756.0	12651492.0	12651534.0	4804341.0	4014553.0	2026144.0	12651504.0	12651420.0	13287566.0	14319450.0	4013623.0	.0	14319480.0	4013588.0	13201574.0	1017668.0	.0	4023080.0	29426836.0	4014558.0	4805094.0	20344792.0	2026132.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	2	4	2	1	4	2	5	2	6	2	8	7	4	1	3	1	2	2	1	3	2	4	9	6	2	3	3	2	5	1	2	1	3	3	7	4	5	2	1	2	1	1	6	3	4	4	2	4	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	8.03	8.08	6.47	7.45	7.63	2.76	8.4	3.72	6.8	10.48	8.65	7.65	7.87	7.58	7.89	5.06	9.09	1.84	6.77	7.21	3.68	8.68	5.31	5.3	8.01	7.79	4.85	8.99	9.99	5.7	6.38	1.14	5.83	8.42	7.09	6.16	7.19	9.52	5.6	5.42	2.7	5.89	1.92	4.75	8.27	7.08	7.47	5.96	5.26	5.29	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	354	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	352	360	360	360	360	360	360	360	360	360	360	353	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2160	2340	2580	2400	2040	2160	2580	2940	2220	2040	2580	2340	2340	3120	2580	2100	2640	2760	2700	1620	2760	2520	2100	2640	3000	2640	2820	1860	2340	2760	2100	2100	2160	2760	2640	2820	1986	2280	2220	2760	2820	2520	2100	2700	2700	2940	2040	2640	2760	2640	2460	2700	2160	2708	2400	1860	3060	2220	2100	2640	2280	3000	2220	1920	2527	2400	2460	1920	2040	1980	2820	2580	2160	2340	2160	2880	2520	2700	2580	2580	2640	1800	2700	2400	2760	2100	3000	2280	1800	2100	2640	3120	2880	1800	2880	1800	2820	2700	2340	1920	
additionalPoiTime-------------	9.552409233E8
algorithmTime-----------------	8.88269694E7
serverTime--------------------	3.23858076E7
Total Transferred Metadata----	15086

Photo List Size: 4642
Gained Coverage %-------------	0.6547986325356457
Gained Redundancy %-----------	0.05610082671023377
Total Cluster Created---------	50
Total Transferred Photo-------	1961
Total Photo at Destination----	627
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	1	7	15	14	15	18	18	6	6	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	0	5	17	22	14	22	13	7	
Redundant Ratio---------------	7	81	11	1	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	
NumOfPoint Distribution-------	0	9	14	8	8	4	3	2	1	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	3	2	2	2	11	5	12	9	3	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	8	16	0	12	34	1	6	0	0	5	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3405	1032	458	1987	2413	520	816	403	238	824	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.555066079295155	23.008810572687224	23.506607929515418	21.01762114537445	21.330396475770925	22.493392070484582	23.46696035242291	23.26872246696035	22.740088105726873	24.07488986784141	
Nodes Above Average-----------	118	108	95	97	108	107	103	97	96	105	90	
Nodes Below Average-----------	109	119	132	130	119	120	124	130	131	122	137	

Average Coverage--------------	1208.5154185022027	1263.444933920705	1343.964757709251	1370.044052863436	1233.84140969163	1250.9691629955946	1314.5330396475772	1367.740088105727	1357.5418502202642	1328.8810572687225	1401.6211453744493	
Nodes Above Average-----------	117	107	101	100	113	112	106	102	102	102	96	
Nodes Below Average-----------	110	120	126	127	114	115	121	125	125	125	131	
Photos Above Average----------	26	29	32	33	27	28	31	33	33	32	35	
Photos Below Average----------	14	14	15	15	14	14	14	15	15	15	15	
Network Coverage--------------	35978	35978	35978	35978	35978	35978	35978	35978	35978	35978	35978	

Average Redundancy------------	24.788546255506606	29.859030837004404	36.563876651982376	40.352422907488986	27.215859030837006	28.854625550660792	35.070484581497794	40.27753303964758	38.581497797356825	35.52422907488987	42.87224669603524	
Nodes Above Average-----------	93	84	80	74	87	86	79	74	76	81	75	
Nodes Below Average-----------	134	143	147	153	140	141	148	153	151	146	152	
Photos Above Average----------	24	27	31	33	25	26	29	33	32	30	34	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	243982	257602	277402	284182	250282	254542	270382	283642	280942	273742	291922	

