Message stats for scenario Photo_5000-Scenario_5-ActualPOI_50-K_3
sim_time: 31622400.0000

Photo List Size: 4642
coverageValue-----------------	195	111	219	122	277	335	223	282	205	180	214	285	166	204	140	316	181	157	209	186	255	169	180	256	216	200	301	100	284	254	257	216	177	298	136	211	161	265	144	138	245	189	223	162	281	216	204	259	120	224	180	266	279	334	269	328	251	287	259	285	263	287	214	183	247	207	250	350	270	120	261	243	212	146	209	273	261	295	239	153	166	300	198	168	340	309	258	312	94	258	192	360	223	262	294	183	304	237	298	153	
redundantCoverageValue--------	345	189	141	58	23	145	77	198	35	0	26	75	74	36	40	224	59	83	31	54	45	131	0	164	264	40	239	140	136	166	103	144	63	182	44	209	199	215	36	42	235	51	77	198	199	144	36	101	0	136	0	34	141	206	91	512	109	193	101	255	157	193	146	117	53	213	230	370	150	0	159	117	148	34	151	327	219	125	301	267	74	240	162	132	320	351	102	48	206	162	168	300	17	158	126	117	236	183	62	207	
halfCoverageTime--------------	13511486.0	.0	11280817.0	.0	12566078.0	13203735.0	14141296.0	29426842.0	29433801.0	29663308.0	29674088.0	757938.0	.0	19664448.0	.0	12581046.0	29663326.0	.0	19708280.0	14319502.0	13287584.0	.0	13511463.0	14141302.0	4804358.0	15627716.0	4014548.0	.0	12581040.0	12566016.0	12613085.0	19664432.0	.0	13212916.0	.0	19664426.0	.0	13212921.0	.0	.0	13377548.0	14319526.0	13267054.0	.0	11280741.0	19748336.0	19748324.0	19667098.0	.0	12651470.0	28384880.0	13278400.0	3949502.0	4293024.0	20344792.0	147412.0	12665016.0	757836.0	3951080.0	14319450.0	13267066.0	5227432.0	19664420.0	13267044.0	29186218.0	4013760.0	4013772.0	4013802.0	3949531.0	.0	16050778.0	11280806.0	490400.0	.0	12665962.0	15535528.0	12565121.0	14343350.0	3949514.0	.0	.0	12574304.0	3951074.0	.0	11451294.0	3950226.0	20345838.0	16050772.0	.0	14343356.0	138532.0	12592207.0	14319444.0	12581052.0	13084909.0	14323172.0	330538.0	4799231.0	12592212.0	.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	3	3	1	3	3	3	5	3	2	2	3	3	3	1	3	2	3	6	3	7	2	2	4	3	3	1	3	3	4	4	5	2	3	2	6	4	2	3	5	3	5	2	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	6.0	7.87	4.94	4.6	2.5	6.26	4.57	4.96	8.41	7.14	3.18	7.31	7.44	7.91	6.96	6.08	10.38	5.46	5.59	6.28	6.12	3.82	6.94	10.15	8.23	8.48	7.21	6.17	6.06	6.7	10.2	6.35	6.78	7.03	8.14	9.49	7.49	7.55	6.9	5.91	9.28	5.12	6.24	8.0	7.78	9.43	7.62	8.56	6.64	10.84	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	357	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	359	360	360	360	360	360	
initialRedundantCoverageValue-	2520	2340	2100	2160	2940	1920	2700	2460	1980	2460	2100	3180	1980	2760	2160	2700	1980	2940	2520	2100	2880	2220	2100	2400	3180	1740	2760	2220	2040	2820	2463	2640	2760	2760	2280	2400	2280	1800	2520	2580	2880	2040	2400	2460	3120	1980	2100	3240	2160	2220	1680	1620	2340	3120	2640	2640	2220	3000	2580	2580	2700	3360	2700	2460	2400	2880	2160	2220	2340	2040	1620	2280	2580	1680	1920	2640	3360	1680	2280	2520	2820	2640	2640	2100	3060	3180	2220	2940	1800	2640	1980	2940	2400	1980	2461	3000	2220	2280	2460	2100	
additionalPoiTime-------------	0.0
algorithmTime-----------------	8.23997282E7
serverTime--------------------	1.882152065E8
Total Transferred Metadata----	15086

Photo List Size: 4642
Gained Coverage %-------------	0.635570618957662
Gained Redundancy %-----------	0.05806753605098052
Total Cluster Created---------	50
Total Transferred Photo-------	1782
Total Photo at Destination----	627
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	5	6	13	15	14	21	15	6	5	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	2	8	14	22	12	26	10	6	
Redundant Ratio---------------	5	82	13	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	
NumOfPoint Distribution-------	0	7	13	19	4	4	2	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	0	1	2	4	4	15	11	6	3	4	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	6	14	0	14	26	2	10	0	1	6	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1720	804	217	1361	1372	411	651	185	163	699	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.308370044052865	23.088105726872246	23.70044052863436	20.7136563876652	21.11894273127753	22.515418502202643	23.651982378854626	23.405286343612335	22.854625550660792	24.6079295154185	
Nodes Above Average-----------	118	107	94	95	116	107	105	96	95	108	91	
Nodes Below Average-----------	109	120	133	132	111	120	122	131	132	119	136	

Average Coverage--------------	1210.568281938326	1253.4581497797358	1351.8458149779735	1387.2422907488988	1219.6651982378855	1242.6167400881056	1320.876651982379	1384.3788546255507	1369.2775330396476	1338.259911894273	1436.7180616740088	
Nodes Above Average-----------	116	110	103	94	112	111	103	95	101	103	93	
Nodes Below Average-----------	111	117	124	133	115	116	124	132	126	124	134	
Photos Above Average----------	26	28	32	35	27	28	31	34	33	32	37	
Photos Below Average----------	14	14	15	15	14	14	15	15	15	15	15	
Network Coverage--------------	35985	35984	35984	35984	35984	35984	35984	35984	35984	35984	35984	

Average Redundancy------------	22.73568281938326	25.044052863436125	33.440528634361236	34.784140969163	23.154185022026432	24.519823788546255	30.048458149779737	34.74008810572687	35.03964757709251	33.01762114537445	39.757709251101325	
Nodes Above Average-----------	80	79	74	76	80	80	73	76	72	75	69	
Nodes Below Average-----------	147	148	153	151	147	147	154	151	155	152	158	
Photos Above Average----------	24	26	31	34	24	25	30	34	33	31	37	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	243975	254236	278476	286816	246136	251656	270676	286156	282796	275296	299176	

