Message stats for scenario Photo_5000-Scenario_4-ActualPOI_50-K_4
sim_time: 31622400.0000

Photo List Size: 4642
coverageValue-----------------	136	258	254	151	288	189	185	250	259	214	350	297	293	285	346	219	267	197	111	292	187	231	212	180	326	120	227	203	196	127	142	354	303	301	312	263	79	292	95	266	288	250	161	283	136	173	165	234	232	145	214	194	294	250	300	319	205	145	280	251	180	225	312	293	258	247	168	281	221	75	275	265	271	246	292	320	261	254	183	293	294	159	229	209	164	351	326	164	336	293	246	299	217	228	355	187	260	325	174	321	
redundantCoverageValue--------	44	42	166	29	132	171	55	110	41	26	190	243	247	195	194	201	213	103	9	128	113	69	148	0	214	0	253	37	44	53	38	246	117	239	168	157	41	248	25	274	192	170	19	137	44	127	15	66	68	35	146	46	186	170	360	341	35	35	200	49	0	75	348	247	162	113	72	259	79	45	145	155	269	114	128	160	99	166	57	127	486	81	71	151	76	69	274	136	264	127	174	241	203	192	365	53	100	215	246	339	
halfCoverageTime--------------	.0	12567368.0	12574286.0	.0	14319526.0	20347958.0	11280780.0	12651504.0	12651464.0	20344822.0	12566066.0	4013730.0	13267044.0	3951105.0	11280796.0	12651476.0	12651420.0	12651545.0	.0	12665968.0	30035876.0	14319480.0	15535568.0	14319508.0	1017650.0	.0	20347964.0	29674088.0	29433796.0	.0	.0	12613096.0	4014588.0	4013696.0	12574298.0	14319586.0	.0	4292990.0	.0	12651498.0	12581046.0	13511474.0	.0	147366.0	.0	.0	.0	19708280.0	14319568.0	.0	13377542.0	13511468.0	4014542.0	14323160.0	12565121.0	12651454.0	29426876.0	.0	13203735.0	12565388.0	138486.0	17846430.0	12581016.0	4293030.0	14343350.0	11280812.0	.0	12566031.0	14343362.0	.0	13377548.0	12566048.0	11797917.0	13084924.0	19719473.0	12613090.0	3949520.0	4013612.0	4013760.0	13203724.0	12565126.0	.0	11280726.0	12651470.0	.0	12651514.0	13267078.0	.0	1083520.0	20345849.0	17846424.0	14141302.0	16050755.0	3949536.0	757803.0	19698224.0	3950210.0	1083508.0	.0	757857.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	3	2	8	2	4	2	5	2	3	2	10	2	2	3	4	2	4	2	2	2	5	1	1	4	3	2	2	6	6	5	4	4	4	2	2	3	2	3	2	2	6	2	4	1	1	2	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	4.72	7.85	7.01	7.99	6.58	6.53	5.12	6.61	2.22	7.34	7.05	5.86	5.3	7.72	5.79	6.53	7.97	6.91	7.53	6.37	6.9	9.4	5.89	7.48	6.83	9.56	7.99	10.13	5.27	6.39	6.9	6.6	6.55	7.96	4.58	6.2	4.59	4.87	6.41	7.2	7.71	5.02	4.93	7.7	10.35	5.68	5.13	1.81	7.05	7.09	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	359	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2340	2400	2460	2280	2820	2340	2100	2220	2340	2820	2820	2580	2400	2460	1920	2460	2100	2340	1920	3000	2160	2520	1980	2640	2760	1800	2280	2880	1920	2040	2580	2700	2700	2820	2820	3180	2100	3000	1980	2760	2340	2400	2460	2580	1860	3000	2460	2460	1440	2400	2520	2221	2280	2160	2520	2760	2340	1800	3060	2400	2160	2460	2700	2700	2340	2280	2040	2880	2040	1980	1860	2700	2880	2520	2400	2640	2940	2880	2400	1920	3000	2640	2040	2340	2160	2580	2160	2580	1800	2100	2580	2220	2520	2460	2640	2160	2700	2640	2040	2400	
additionalPoiTime-------------	1.0556275668E9
algorithmTime-----------------	8.84369669E7
serverTime--------------------	1.272032154E8
Total Transferred Metadata----	15087

Photo List Size: 4642
Gained Coverage %-------------	0.6620461679491096
Gained Redundancy %-----------	0.05853583856405758
Total Cluster Created---------	50
Total Transferred Photo-------	1969
Total Photo at Destination----	640
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	2	3	6	11	11	13	18	20	10	6	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	3	6	13	14	17	19	19	9	
Redundant Ratio---------------	3	83	14	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	
NumOfPoint Distribution-------	0	4	22	7	9	3	3	0	1	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	1	1	0	5	9	14	16	0	2	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	7	12	0	18	29	3	7	0	0	4	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3713	1102	470	2030	2432	629	859	436	292	848	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.726872246696036	23.691629955947135	24.387665198237887	21.11453744493392	21.515418502202643	22.97797356828194	24.325991189427313	23.995594713656388	23.34361233480176	25.29955947136564	
Nodes Above Average-----------	118	108	96	87	109	108	105	88	96	95	82	
Nodes Below Average-----------	109	119	131	140	118	119	122	139	131	132	145	

Average Coverage--------------	1212.6079295154184	1274.7973568281939	1381.092511013216	1417.1982378854625	1240.4845814977973	1262.3568281938326	1342.5506607929515	1413.9030837004404	1397.2775330396476	1362.5286343612336	1467.15859030837	
Nodes Above Average-----------	118	105	93	94	117	107	100	95	94	101	86	
Nodes Below Average-----------	109	122	134	133	110	120	127	132	133	126	141	
Photos Above Average----------	26	29	35	36	27	29	32	36	35	33	40	
Photos Below Average----------	14	14	15	15	14	14	15	15	15	15	16	
Network Coverage--------------	35977	35977	35977	35977	35977	35977	35977	35977	35977	35977	35977	

Average Redundancy------------	20.696035242290748	28.814977973568283	40.40528634361233	46.06167400881057	26.387665198237887	28.568281938325992	36.12775330396476	45.65638766519824	42.458149779735685	38.08810572687225	50.81497797356828	
Nodes Above Average-----------	76	67	64	57	68	66	61	56	61	65	59	
Nodes Below Average-----------	151	160	163	170	159	161	166	171	166	162	168	
Photos Above Average----------	24	29	36	40	27	28	34	39	37	34	42	
Photos Below Average----------	18	18	18	19	18	18	18	19	18	18	19	
Network Redundancy------------	243983	259943	286703	296183	251603	257063	276983	295343	290843	281963	308603	

