Message stats for scenario Photo_5000-Scenario_5-ActualPOI_50-K_4
sim_time: 31622400.0000

Photo List Size: 4642
coverageValue-----------------	294	194	180	159	222	141	226	314	120	60	212	182	269	230	179	331	251	185	277	224	188	235	239	231	261	84	322	191	290	303	265	291	60	215	222	323	277	253	140	243	212	289	293	287	60	302	300	60	206	186	183	144	230	186	213	295	232	243	124	248	313	219	98	224	320	201	199	341	299	201	331	283	265	292	320	334	224	238	287	196	217	311	125	266	274	157	277	265	275	338	292	298	247	286	295	243	274	183	283	231	
redundantCoverageValue--------	366	46	0	81	138	99	134	166	0	0	88	58	31	130	61	269	289	55	143	76	172	125	181	189	39	96	158	109	130	117	335	189	0	85	138	97	203	107	40	237	88	131	247	193	0	358	60	0	214	114	57	96	70	54	207	245	128	177	176	112	227	261	22	76	340	279	101	379	241	39	269	437	155	128	100	446	196	122	193	164	83	169	55	94	146	23	143	215	145	202	368	302	53	74	185	117	206	57	77	129	
halfCoverageTime--------------	4013708.0	20345808.0	19748318.0	.0	4023086.0	.0	11280710.0	12574274.0	.0	.0	12613398.0	14319532.0	13377554.0	12592202.0	.0	3950226.0	13202194.0	20345784.0	13201562.0	29186206.0	14319456.0	13201568.0	12665968.0	13287572.0	20345844.0	.0	4293008.0	4014564.0	12566060.0	12566021.0	4804358.0	11280720.0	.0	16050784.0	14319421.0	12651519.0	13267060.0	4013802.0	.0	14323166.0	19698212.0	12566066.0	11280812.0	13607020.0	.0	13511486.0	12565176.0	.0	13278400.0	14319410.0	20344804.0	.0	11280768.0	29426825.0	14343362.0	13212916.0	29663326.0	14319550.0	.0	15535574.0	4014553.0	12581022.0	.0	20347964.0	12566048.0	19663968.0	14319562.0	330538.0	757814.0	29426836.0	4299389.0	4013742.0	13278389.0	3951068.0	4013730.0	490376.0	757803.0	13267078.0	3949520.0	4805105.0	19667110.0	4014594.0	.0	11451306.0	12651459.0	.0	490382.0	14319610.0	4805094.0	12574280.0	1017650.0	757902.0	757874.0	12565126.0	3949536.0	13511458.0	4014746.0	13267038.0	19667104.0	16050745.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	3	2	3	3	8	3	3	5	4	3	4	3	4	3	2	3	5	1	1	4	9	3	2	4	2	4	4	4	2	3	2	2	3	3	3	2	5	6	3	5	6	3	1	3	4	3	2	3	4	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	6.38	7.96	6.4	7.28	7.78	5.86	7.33	6.98	8.19	7.97	8.11	7.8	3.46	4.82	6.18	6.81	5.79	7.26	1.89	4.5	7.91	7.92	6.39	6.56	7.54	5.99	8.9	5.37	5.74	5.67	9.12	8.47	7.23	6.99	6.01	8.84	5.91	7.34	7.36	6.21	9.68	6.22	9.23	3.62	7.75	4.32	10.0	5.61	5.22	8.52	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	346	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2820	3000	1860	2280	2520	3000	1920	2400	2400	2280	2340	2820	2880	2940	2340	3480	2760	2520	2280	2460	2040	2460	2520	2640	1980	2160	2520	3120	1740	2760	2880	2160	2340	2280	1920	1980	2640	2160	3000	2160	2280	2580	2760	2640	1860	2100	2400	2100	2114	2040	2280	2040	2400	2580	2640	2940	2460	2460	1920	2520	2820	2820	1740	1860	2220	2100	2280	2640	2820	1500	2760	3060	2460	2220	3120	2580	2760	1860	2460	2580	2220	2400	2160	2580	2400	2520	1980	3000	2520	2640	2640	2760	2460	2280	2280	2280	3240	3300	2520	2220	
additionalPoiTime-------------	0.0
algorithmTime-----------------	8.0808518E7
serverTime--------------------	1.167511484E8
Total Transferred Metadata----	15087

Photo List Size: 4642
Gained Coverage %-------------	0.6529761573945423
Gained Redundancy %-----------	0.0601059877354716
Total Cluster Created---------	50
Total Transferred Photo-------	1802
Total Photo at Destination----	643
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	4	1	2	5	4	14	20	13	23	9	5	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	4	2	6	4	18	22	18	21	5	
Redundant Ratio---------------	6	81	13	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	
NumOfPoint Distribution-------	0	3	9	19	10	4	3	0	1	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	1	0	2	3	9	11	14	6	3	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	8	18	0	16	27	2	10	0	0	4	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1751	783	205	1340	1330	415	643	167	139	673	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	21.220264317180618	23.01762114537445	23.6784140969163	20.63876651982379	21.030837004405285	22.431718061674008	23.612334801762113	23.33920704845815	22.823788546255507	24.590308370044053	
Nodes Above Average-----------	118	108	96	97	118	108	102	98	97	104	91	
Nodes Below Average-----------	109	119	131	130	109	119	125	129	130	123	136	

Average Coverage--------------	1208.6872246696034	1244.0176211453745	1343.6167400881056	1378.5991189427314	1212.6740088105728	1233.770925110132	1309.5330396475772	1374.8986784140968	1360.0308370044054	1331.9471365638767	1428.7180616740088	
Nodes Above Average-----------	117	118	100	98	115	117	105	98	99	103	94	
Nodes Below Average-----------	110	109	127	129	112	110	122	129	128	124	133	
Photos Above Average----------	26	27	32	34	26	27	31	34	33	32	37	
Photos Below Average----------	14	14	15	15	14	14	14	15	15	15	15	
Network Coverage--------------	35953	35953	35953	35953	35953	35953	35953	35953	35953	35953	35953	

Average Redundancy------------	24.616740088105725	29.198237885462554	37.440528634361236	42.1057268722467	25.651982378854626	28.079295154185022	36.370044052863435	41.841409691629956	40.3215859030837	37.480176211453745	46.70044052863436	
Nodes Above Average-----------	97	91	83	79	95	93	84	82	83	82	70	
Nodes Below Average-----------	130	136	144	148	132	134	143	145	144	145	157	
Photos Above Average----------	24	25	30	33	24	25	29	32	31	30	36	
Photos Below Average----------	17	18	18	18	17	17	18	18	18	18	19	
Network Redundancy------------	244007	253067	277547	286547	245147	250487	269567	285647	281927	274907	298967	

