Message stats for scenario Photo_5000-Scenario_6-ActualPOI_50-K_4
sim_time: 31622400.0000

Photo List Size: 652
coverageValue-----------------	131	192	260	269	185	259	270	213	263	212	184	327	165	120	228	120	275	168	279	215	210	278	266	170	181	279	286	217	173	285	254	237	238	251	200	227	258	232	345	171	221	346	267	337	223	193	283	205	272	275	240	294	126	252	284	276	270	340	201	286	354	180	120	256	247	93	331	245	276	200	306	215	267	232	293	239	318	231	186	142	294	244	255	242	225	283	213	238	210	276	251	237	256	335	239	254	304	210	178	315	
redundantCoverageValue--------	49	228	100	151	115	221	90	207	97	28	56	273	15	0	192	0	145	132	141	25	210	382	214	130	59	141	74	83	67	135	46	123	2	289	40	193	162	128	375	129	19	314	333	323	137	107	137	155	88	205	180	186	54	108	136	84	270	80	39	314	186	0	0	104	53	87	149	175	144	40	114	85	213	128	247	1	282	129	234	218	186	56	45	178	75	197	27	122	150	204	109	243	344	265	601	106	56	90	122	345	
halfCoverageTime--------------	.0	29932610.0	19664376.0	490388.0	12613090.0	12566048.0	4293030.0	12651482.0	12651487.0	14319538.0	29426836.0	4013718.0	.0	.0	29932616.0	.0	5227444.0	.0	13201574.0	13377542.0	19664086.0	19663962.0	12574304.0	.0	29426864.0	12566072.0	13267038.0	16050784.0	.0	14343350.0	4023322.0	15535533.0	20345826.0	4013796.0	757830.0	29426820.0	11527392.0	14319580.0	330532.0	.0	19708280.0	12592207.0	13511463.0	490406.0	11280720.0	29674088.0	2026144.0	19698224.0	13227666.0	19748300.0	4805105.0	12651534.0	.0	5227432.0	12651476.0	12567362.0	17846492.0	12565110.0	15535568.0	4014606.0	4013623.0	29433812.0	.0	14319502.0	11280786.0	.0	11791592.0	12665962.0	12651430.0	14319432.0	4293008.0	19664676.0	4023328.0	13267044.0	4805094.0	19664448.0	4013606.0	4014616.0	13225154.0	.0	11797928.0	13607026.0	3949514.0	14141279.0	14319421.0	12651498.0	19748336.0	20344810.0	19748330.0	12566036.0	16050814.0	19748294.0	13084924.0	757841.0	12566060.0	13267072.0	12566650.0	12651540.0	.0	4804346.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	2	3	1	2	1	2	1	1	0	1	0	1	2	2	2	1	1	0	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	2	2	1	1	2	0	1	1	2	1	1	1	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	3.39	8.12	.0	4.85	5.76	8.77	4.16	6.44	7.2	6.4	4.53	1.75	.0	9.56	.0	6.13	8.56	7.2	5.06	6.04	2.58	.0	.98	2.15	5.57	3.0	9.38	10.33	4.96	2.25	4.03	5.97	4.49	4.08	7.53	10.07	4.62	6.27	5.69	7.43	8.51	6.68	6.45	.0	8.38	2.5	4.98	4.8	3.31	4.4	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2100	2100	2040	2880	2400	2580	2880	2520	2340	2460	2880	2580	2220	2280	2340	2880	2580	1920	2400	2040	2880	3120	2100	2160	1920	2280	2460	2580	2280	2460	2460	2580	1980	2340	2280	2340	2460	2100	2760	2040	2160	2160	2760	2940	3180	2040	2220	2880	2400	2400	2640	2100	1920	1860	2040	2880	2580	2220	2100	2520	2400	2100	2220	2160	2460	1860	2340	2640	2220	2580	1860	2460	2400	2820	2940	2100	2520	3000	3120	2220	2520	2580	2220	2820	2880	2880	2340	2640	2460	2820	2820	2940	2400	2460	2340	2160	2280	2400	2460	3180	
additionalPoiTime-------------	490000.0
algorithmTime-----------------	1.96791E9
serverTime--------------------	1110000.0
Total Transferred Metadata----	8244

Photo List Size: 652
Gained Coverage %-------------	0.6687222222222222
Gained Redundancy %-----------	0.05993771002376854
Total Cluster Created---------	0
Total Transferred Photo-------	6560
Total Photo at Destination----	652
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	4	3	7	13	21	22	18	5	7	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	1	6	7	18	23	30	7	8	
Redundant Ratio---------------	4	80	15	1	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	
NumOfPoint Distribution-------	5	28	16	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	56	1	5	2	11	5	7	4	5	2	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	6	16	0	15	27	3	13	0	0	7	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	2094	2238	949	2323	6086	2031	2453	1117	303	3652	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.555066079295155	26.12775330396476	33.53303964757709	36.392070484581495	23.41850220264317	25.22466960352423	28.348017621145374	36.17621145374449	35.3215859030837	33.00440528634361	39.93832599118943	
Nodes Above Average-----------	118	72	42	44	93	80	58	44	45	41	50	
Nodes Below Average-----------	109	155	185	183	134	147	169	183	182	186	177	

Average Coverage--------------	1211.409691629956	1512.84140969163	1912.5594713656387	2062.444933920705	1369.259911894273	1466.215859030837	1633.1145374449338	2051.5374449339206	2006.4052863436123	1883.3436123348017	2250.6343612334804	
Nodes Above Average-----------	117	77	46	45	98	86	61	47	47	46	52	
Nodes Below Average-----------	110	150	181	182	129	141	166	180	180	181	175	
Photos Above Average----------	26	44	88	102	33	39	56	98	94	85	106	
Photos Below Average----------	14	16	19	20	15	16	17	19	19	19	20	
Network Coverage--------------	35992	35992	35992	35992	35992	35992	35992	35992	35992	35992	35992	

Average Redundancy------------	21.894273127753305	54.82378854625551	99.42290748898678	121.07929515418502	35.85022026431718	47.26431718061674	67.76651982378854	119.0352422907489	112.8898678414097	96.92070484581498	145.66519823788545	
Nodes Above Average-----------	80	41	42	39	67	51	40	39	39	43	45	
Nodes Below Average-----------	147	186	185	188	160	176	187	188	188	184	182	
Photos Above Average----------	24	56	91	111	34	45	67	110	105	86	115	
Photos Below Average----------	18	19	20	20	18	19	19	20	20	20	21	
Network Redundancy------------	243968	319868	420728	459668	282968	307568	350108	456728	445088	413528	507968	

