Message stats for scenario Photo_2500-Scenario_5-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 2437
coverageValue-----------------	250	326	164	244	236	207	314	288	212	244	142	152	173	315	249	331	250	281	139	223	226	278	282	144	197	228	176	129	273	249	310	120	204	119	249	293	356	170	289	191	231	120	219	250	267	188	75	236	306	220	119	245	217	180	223	244	135	312	213	120	245	266	243	286	312	193	139	209	226	161	165	60	120	159	60	104	315	201	282	200	198	166	188	145	214	116	163	314	127	240	224	180	270	238	269	195	180	262	195	151	
redundantCoverageValue--------	110	154	16	56	124	33	166	132	28	116	38	28	127	105	111	89	50	19	101	137	74	22	18	36	43	72	4	51	207	51	110	0	36	61	51	127	184	70	131	109	9	0	81	50	153	52	45	64	114	80	61	115	23	0	77	116	165	168	87	0	235	94	57	74	288	107	41	31	14	19	75	0	0	201	0	76	225	99	198	100	42	194	52	95	146	64	77	106	53	120	136	0	210	2	211	105	0	218	45	89	
halfCoverageTime--------------	12651448.0	15535544.0	.0	13267044.0	12566042.0	19663962.0	3951105.0	12592202.0	29433812.0	13201568.0	.0	.0	.0	4293008.0	4014542.0	4292996.0	14323166.0	12651420.0	.0	12651470.0	29663326.0	13203735.0	13227648.0	.0	19664448.0	19664426.0	.0	.0	12613090.0	13202212.0	13278389.0	.0	14141290.0	.0	19663968.0	4299378.0	12613085.0	.0	19664080.0	12613398.0	19748312.0	.0	11280710.0	16050755.0	4804358.0	16050760.0	.0	29433796.0	3951074.0	13225160.0	.0	4014576.0	13267049.0	19664086.0	13607020.0	4799231.0	.0	14319421.0	4013713.0	.0	147814.0	15535550.0	11797922.0	490394.0	13607014.0	20345790.0	.0	4014594.0	12651464.0	.0	.0	.0	.0	.0	.0	.0	2026144.0	12651430.0	4804341.0	12651442.0	14343345.0	.0	13287584.0	.0	19698212.0	.0	.0	4014582.0	.0	4014570.0	382414.0	13511480.0	4013730.0	14343350.0	382420.0	19708280.0	19667092.0	1261014.0	12592207.0	.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	4	5	2	5	3	3	3	2	2	3	2	4	5	1	6	3	1	2	4	4	2	3	4	6	2	4	6	2	4	8	2	2	8	1	2	7	2	3	5	2	1	3	4	1	2	2	2	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	7.25	3.05	5.74	8.05	6.74	5.72	6.76	5.52	7.85	6.65	9.01	7.07	6.65	5.89	5.2	7.01	8.49	8.61	7.3	8.61	3.11	5.23	5.32	6.8	8.92	6.46	6.33	3.89	5.62	7.88	5.46	8.56	7.44	6.38	10.0	8.04	1.24	5.22	7.32	9.49	6.38	6.36	7.24	.89	8.27	8.53	1.81	5.42	7.22	8.52	
initialCoverageValue----------	360	360	341	360	360	302	356	324	351	360	360	360	344	360	349	360	360	360	360	360	353	360	360	360	349	360	332	360	355	360	360	360	360	360	360	360	360	354	360	333	346	265	360	360	360	360	324	360	360	360	360	360	342	360	360	360	360	360	360	360	342	360	340	349	360	360	306	360	346	360	360	360	360	301	356	345	360	243	360	360	349	360	360	360	360	360	360	360	360	360	354	329	360	358	360	328	321	354	360	360	
initialRedundantCoverageValue-	1080	1500	679	1020	1080	1138	1444	816	549	1200	840	840	1096	1680	1271	1080	1320	900	1260	1080	1087	1260	1620	1440	971	1380	688	960	1805	1200	1320	780	1140	900	900	1200	1380	786	1200	1167	974	515	1260	900	1560	1020	936	1260	1440	1260	1140	900	918	900	1140	2100	1320	1080	1020	660	1578	1440	800	1031	1080	1200	354	840	1274	1320	840	960	1320	779	784	1095	1860	717	1440	720	1331	840	720	1380	1020	780	1260	1140	1080	1200	906	811	1140	782	660	1292	1059	966	1140	1500	
additionalPoiTime-------------	0.0
algorithmTime-----------------	2.03425304E7
Total Transferred Metadata----	15088

Photo List Size: 2437
Gained Coverage %-------------	0.6064673928500327
Gained Redundancy %-----------	0.07792420695999053
Total Cluster Created---------	50
Total Transferred Photo-------	1283
Total Photo at Destination----	499
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	2	1	8	8	14	13	17	17	9	9	2	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	2	1	13	12	18	25	13	13	3	
Redundant Ratio---------------	9	63	23	4	1	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	
NumOfPoint Distribution-------	0	6	18	8	8	4	3	1	2	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	51	2	0	3	0	11	10	10	10	2	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	6	15	0	8	25	2	11	0	0	3	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	830	373	77	661	414	93	189	55	47	199	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	10.823788546255507	11.004405286343612	11.136563876651982	11.246696035242291	10.86784140969163	10.933920704845814	11.220264317180616	11.220264317180616	11.180616740088105	11.20704845814978	11.370044052863436	
Nodes Above Average-----------	123	100	104	106	119	118	103	106	105	106	108	
Nodes Below Average-----------	104	127	123	121	108	109	124	121	122	121	119	

Average Coverage--------------	642.885462555066	653.3656387665199	660.2290748898679	666.4229074889868	645.5286343612335	649.136563876652	665.3700440528635	665.0616740088105	662.8722466960353	664.4449339207049	673.5330396475771	
Nodes Above Average-----------	122	117	104	105	118	117	103	106	105	106	107	
Nodes Below Average-----------	105	110	123	122	109	110	124	121	122	121	120	
Photos Above Average----------	13	14	14	15	13	13	14	14	14	14	15	
Photos Below Average----------	7	7	8	8	7	7	8	7	8	8	7	
Network Coverage--------------	35141	35092	35038	35033	35092	35092	35083	35035	35035	35073	35033	

Average Redundancy------------	6.541850220264317	6.898678414096916	7.964757709251101	8.37885462555066	6.541850220264317	6.898678414096916	7.845814977973569	8.154185022026432	7.964757709251101	7.977973568281938	8.669603524229075	
Nodes Above Average-----------	37	40	42	43	37	40	41	42	42	41	45	
Nodes Below Average-----------	190	187	185	184	190	187	186	185	185	186	182	
Photos Above Average----------	12	13	14	14	13	13	14	14	14	14	14	
Photos Below Average----------	10	10	10	10	10	10	10	10	10	10	10	
Network Redundancy------------	112279	114788	116642	118147	112928	113828	117737	117785	117245	117567	119827	

