Message stats for scenario Photo_2500-Scenario_6-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 550
coverageValue-----------------	212	283	120	172	110	193	192	353	254	192	335	238	132	176	120	282	250	255	264	120	266	313	215	120	267	236	250	178	149	263	224	323	157	243	276	227	125	120	315	157	283	272	120	334	125	275	81	269	249	288	209	122	214	226	308	120	180	285	0	220	238	120	183	209	130	215	124	241	201	166	337	212	118	264	158	324	323	208	229	350	162	223	210	182	318	240	285	263	187	180	271	258	204	185	170	237	221	304	255	261	
redundantCoverageValue--------	28	317	0	8	70	47	48	127	106	108	385	62	48	4	0	138	170	165	36	0	34	287	145	0	93	184	170	122	31	157	136	217	83	177	144	13	115	0	165	203	257	88	0	86	55	145	39	91	111	132	211	58	86	14	112	0	0	195	0	20	302	0	57	91	50	145	56	239	39	134	143	208	62	36	202	216	217	92	191	190	78	197	30	58	222	180	255	37	113	0	89	162	96	55	70	123	79	236	45	219	
halfCoverageTime--------------	29663320.0	12565116.0	.0	.0	.0	19664448.0	29663314.0	13267049.0	13511452.0	13225160.0	3950220.0	19664415.0	.0	.0	.0	16050774.0	12651492.0	13212910.0	14319432.0	.0	12613090.0	13267072.0	13511486.0	.0	13267084.0	13267054.0	4292990.0	.0	.0	12651470.0	12565388.0	12566016.0	.0	14319523.0	3951062.0	28384898.0	.0	.0	11280762.0	.0	3951105.0	4013576.0	.0	4023110.0	.0	20345790.0	.0	12566048.0	12592212.0	29435811.0	13203735.0	.0	14319468.0	12565182.0	13607020.0	.0	30035876.0	11797928.0	.0	382402.0	4013736.0	.0	29617270.0	.0	.0	.0	.0	11797922.0	14319438.0	.0	15535533.0	12566031.0	.0	19664682.0	.0	15627698.0	3951090.0	3951095.0	20345766.0	1017656.0	.0	14323155.0	29431426.0	14319494.0	4805094.0	13212904.0	11280756.0	12574292.0	.0	.0	14319456.0	13267038.0	5227432.0	12574298.0	.0	12574280.0	19719473.0	11280768.0	19748294.0	1431180.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	0	1	2	0	1	1	1	1	1	1	0	1	1	1	1	1	2	0	2	0	1	2	0	1	1	1	1	1	1	2	1	0	1	0	1	2	2	1	1	1	1	1	3	1	2	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	5.36	4.27	3.55	8.91	8.16	.0	7.86	8.57	.0	2.21	8.13	5.72	3.85	8.91	3.83	.0	8.2	2.85	1.5	4.12	.92	9.96	.0	7.11	.0	1.7	8.85	.0	2.35	3.61	9.88	1.2	8.04	6.11	9.65	6.26	.0	3.64	.0	9.03	7.23	7.06	8.01	1.34	7.21	5.63	8.54	10.36	5.45	6.14	
initialCoverageValue----------	360	360	360	355	360	350	360	359	360	360	355	360	360	297	360	360	360	360	345	358	360	350	360	360	357	360	360	360	360	360	360	359	360	360	327	343	360	358	360	360	360	360	326	360	357	359	352	353	307	349	360	360	360	360	360	356	360	360	355	360	346	360	360	358	312	360	335	351	360	350	360	360	357	357	360	360	360	311	360	360	360	351	360	351	355	359	360	331	332	360	360	360	340	345	360	357	339	360	334	360	
initialRedundantCoverageValue-	840	1260	1020	845	960	850	900	1021	1020	1560	1265	600	1020	603	600	1200	1260	1080	675	542	1620	1210	1260	1020	1143	1260	1080	1380	1080	1440	1200	1621	780	1920	1053	797	840	782	1380	1260	1440	960	1114	1620	963	841	1148	907	1133	1151	1260	1140	1200	960	1140	364	1440	1560	725	960	1274	1140	1080	1202	948	960	505	849	1260	1030	1200	1380	1083	843	1260	1200	1080	829	1500	1320	1080	1149	1140	849	1145	1081	1500	869	748	840	1380	1140	620	975	900	903	861	1680	1046	1320	
additionalPoiTime-------------	15600.1
algorithmTime-----------------	1.57405009E7
Total Transferred Metadata----	8242

Photo List Size: 550
Gained Coverage %-------------	0.6168522810786364
Gained Redundancy %-----------	0.10196233931502555
Total Cluster Created---------	0
Total Transferred Photo-------	4645
Total Photo at Destination----	550
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	1	0	1	10	7	11	13	17	17	10	8	5	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	1	0	0	1	15	12	18	17	20	11	5	
Redundant Ratio---------------	11	40	43	5	1	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	
NumOfPoint Distribution-------	8	31	10	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	59	4	3	5	2	4	3	5	10	4	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	3	11	0	16	23	1	7	0	1	6	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	998	829	280	957	2012	482	896	392	108	1046	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	10.823788546255507	11.48898678414097	12.387665198237885	12.629955947136564	11.145374449339206	11.47136563876652	11.757709251101321	12.603524229074889	12.581497797356828	12.365638766519824	12.929515418502202	
Nodes Above Average-----------	123	109	110	116	107	109	112	116	116	110	122	
Nodes Below Average-----------	104	118	117	111	120	118	115	111	111	117	105	

Average Coverage--------------	642.7180616740088	681.136563876652	733.5638766519824	748.0660792951542	661.2863436123348	680.3832599118942	697.0264317180616	746.4801762114538	745.1585903083701	732.1674008810572	765.9427312775331	
Nodes Above Average-----------	121	108	109	115	107	108	111	115	114	109	121	
Nodes Below Average-----------	106	119	118	112	120	119	116	112	113	118	106	
Photos Above Average----------	13	15	16	16	14	15	15	16	16	16	17	
Photos Below Average----------	7	8	8	8	8	8	8	8	8	8	8	
Network Coverage--------------	35375	35276	35217	35171	35298	35276	35263	35171	35171	35217	35117	

Average Redundancy------------	6.709251101321586	8.202643171806168	9.69603524229075	9.731277533039648	7.436123348017621	7.898678414096916	8.43612334801762	9.731277533039648	9.731277533039648	9.77092511013216	9.82819383259912	
Nodes Above Average-----------	42	45	49	48	46	46	46	48	48	50	47	
Nodes Below Average-----------	185	182	178	179	181	181	181	179	179	177	180	
Photos Above Average----------	13	14	16	16	14	14	15	16	16	16	16	
Photos Below Average----------	10	10	11	11	10	10	10	11	11	11	11	
Network Redundancy------------	112045	121204	133503	136849	116502	120964	124877	136489	136189	133203	140983	

