Message stats for scenario S_1-Photo_5000-Scenario_7-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4599
coverageValue-----------------	238	122	60	60	92	115	192	60	120	161	120	120	118	217	120	167	120	159	120	255	110	60	0	148	60	106	120	0	293	255	216	180	120	223	237	60	300	60	118	120	138	60	120	60	60	120	157	60	0	182	140	157	85	65	268	211	237	259	230	254	169	235	331	0	185	216	60	60	220	166	87	130	183	0	109	164	143	91	209	191	267	99	133	174	203	149	120	96	292	205	198	212	234	144	120	180	231	182	174	214	
redundantCoverageValue--------	122	58	0	0	88	65	48	0	0	19	0	0	62	23	0	13	0	21	0	45	10	0	0	92	0	74	0	0	127	45	24	0	0	77	63	0	60	0	2	0	42	0	0	0	0	0	23	0	0	58	40	23	35	55	272	149	123	41	10	106	11	5	269	0	235	24	0	0	140	14	33	110	57	0	11	76	37	89	91	49	153	21	47	6	157	91	0	24	188	35	42	88	186	156	0	0	69	58	186	146	
halfCoverageTime--------------	11797922.0	.0	.0	.0	.0	.0	19698218.0	.0	.0	.0	.0	.0	.0	20344816.0	.0	.0	.0	.0	.0	4014594.0	.0	.0	.0	.0	.0	.0	.0	.0	3951080.0	11797907.0	19708274.0	19664676.0	.0	19664482.0	19698224.0	.0	4805094.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	19664476.0	.0	.0	.0	.0	4799226.0	.0	14319502.0	4805105.0	14319592.0	4013796.0	.0	11127729.0	757973.0	.0	14319462.0	14319580.0	.0	.0	4013588.0	.0	.0	.0	19664470.0	.0	.0	.0	.0	.0	28384898.0	11127666.0	19664442.0	.0	.0	.0	15535533.0	.0	.0	.0	4014758.0	4014640.0	11451306.0	19663968.0	4014645.0	.0	.0	19664432.0	15535556.0	11127672.0	.0	4013702.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	5	2	4	4	3	4	4	2	2	1	1	4	3	2	4	3	3	4	2	3	2	4	5	3	2	3	6	3	3	2	1	1	5	4	3	4	5	3	3	5	2	2	5	3	2	3	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	8.35	8.85	7.44	8.13	5.62	5.5	9.64	7.18	7.25	5.6	9.73	4.26	5.38	4.7	5.98	4.94	5.67	6.6	5.86	8.4	6.65	5.16	7.74	9.68	7.97	7.91	4.19	5.2	7.22	10.46	8.13	9.55	10.51	9.49	7.39	9.14	5.17	6.47	10.35	7.21	7.04	10.74	8.81	5.83	4.08	6.05	7.47	8.05	7.5	8.28	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	351	360	360	360	360	360	360	360	360	360	360	353	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	354	360	358	360	360	360	360	360	360	360	360	360	360	360	360	360	360	359	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2760	2280	2760	2160	2760	2400	2580	2820	1980	2640	2460	1980	2589	2340	2820	2460	2220	2280	2400	2700	2820	1680	3000	1627	2280	2340	2580	2340	2400	2580	2940	1860	2520	3120	2280	2880	2640	2040	2460	2940	2160	2520	2220	2340	2700	3300	2160	1800	2400	2700	2400	1980	2160	2226	2280	1802	2820	2280	2580	2400	2880	2580	3180	2580	2340	2040	2220	1980	2100	2880	2161	1980	2760	2280	2400	1740	2880	2100	2280	2760	2820	2520	2160	2340	2040	2280	2760	2880	2040	2280	2220	1860	2400	2820	1980	2700	2400	2580	3000	2520	
additionalPoiTime-------------	9.244307258E8
algorithmTime-----------------	8.81873653E7
serverTime--------------------	6130839.3
Total Transferred Metadata----	15227

Photo List Size: 4599
Gained Coverage %-------------	0.4158721334259903
Gained Redundancy %-----------	0.0206828343601261
Total Cluster Created---------	51
Total Transferred Photo-------	1161
Total Photo at Destination----	335
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	5	13	3	23	9	12	10	15	6	3	0	1	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	5	0	14	7	25	14	15	10	6	3	1	
Redundant Ratio---------------	33	65	2	0	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	
NumOfPoint Distribution-------	0	4	12	17	10	6	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	0	0	0	5	11	4	12	8	6	4	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	1	11	0	6	6	0	11	0	1	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1543	907	94	650	421	331	448	261	216	197	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.605263157894736	20.81140350877193	20.95175438596491	21.135964912280702	20.55701754385965	20.723684210526315	20.92982456140351	21.100877192982455	21.035087719298247	20.82017543859649	21.18859649122807	
Nodes Above Average-----------	119	121	121	112	120	120	121	112	111	120	112	
Nodes Below Average-----------	109	107	107	116	108	108	107	116	117	108	116	

Average Coverage--------------	1213.1184210526317	1224.907894736842	1234.2850877192982	1245.1008771929824	1210.5745614035088	1219.8026315789473	1232.1754385964912	1242.9956140350878	1239.140350877193	1226.0263157894738	1248.1447368421052	
Nodes Above Average-----------	118	117	116	117	119	117	117	117	116	116	116	
Nodes Below Average-----------	110	111	112	111	109	111	111	111	112	112	112	
Photos Above Average----------	26	27	27	27	26	26	27	27	27	27	27	
Photos Below Average----------	14	14	14	14	14	14	14	14	14	14	14	
Network Coverage--------------	35975	35975	35975	35975	35975	35975	35975	35975	35975	35975	35975	

Average Redundancy------------	23.19736842105263	23.776315789473685	22.82017543859649	23.05701754385965	22.846491228070175	23.61842105263158	23.614035087719298	23.05701754385965	22.964912280701753	23.18421052631579	23.17105263157895	
Nodes Above Average-----------	84	85	82	82	84	84	84	82	83	82	82	
Nodes Below Average-----------	144	143	146	146	144	144	144	146	145	146	146	
Photos Above Average----------	24	25	25	25	24	25	25	25	25	25	25	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	245905	248725	250645	253165	245245	247525	250345	252685	251785	248845	253885	

