Message stats for scenario S_3-Photo_5000-Scenario_5-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4610
coverageValue-----------------	207	295	292	256	350	325	307	342	328	355	340	360	330	317	360	328	360	334	360	356	307	327	355	342	341	342	271	273	297	336	327	332	238	315	334	354	360	303	336	343	269	338	336	352	320	359	263	336	289	328	148	180	209	315	328	274	90	278	329	210	284	116	247	279	146	220	274	248	271	232	163	350	232	329	180	321	212	289	277	214	270	308	209	287	198	246	195	256	298	123	229	316	213	314	229	180	281	202	314	360	
redundantCoverageValue--------	153	185	128	224	310	155	173	258	212	125	320	120	210	103	360	272	300	266	300	244	113	153	185	198	199	198	149	147	363	264	213	208	242	165	206	306	360	237	444	137	151	202	384	248	220	361	97	264	71	212	32	0	151	165	332	86	30	322	211	90	256	64	173	441	34	80	86	232	89	248	137	250	68	151	0	219	268	311	323	86	330	292	271	193	102	234	45	44	302	57	191	44	87	166	431	0	259	98	166	480	
halfCoverageTime--------------	29186206.0	12566644.0	13267038.0	16050802.0	12581016.0	1953030.0	12566042.0	4014758.0	11974326.0	4013702.0	11974274.0	1509674.0	13227654.0	12566036.0	8344505.0	4205594.0	12565394.0	13227648.0	3719514.0	11974284.0	14319418.0	1431180.0	12665962.0	11280726.0	4014576.0	12854556.0	13202200.0	19664404.0	3951100.0	11280741.0	12581046.0	4293024.0	12854550.0	12566016.0	1509679.0	1953054.0	757825.0	12566072.0	12566054.0	15535562.0	12651442.0	138468.0	12566060.0	12592212.0	6258806.0	4299378.0	11974279.0	4805100.0	14319520.0	6791314.0	.0	6791319.0	1500282.0	490418.0	147412.0	147366.0	.0	1261020.0	3719544.0	14141274.0	147344.0	.0	9971212.0	1953060.0	.0	382426.0	147354.0	11280731.0	6791308.0	13201574.0	.0	382420.0	11451294.0	12854520.0	17846418.0	12566650.0	138538.0	1483909.0	11974308.0	4205605.0	147332.0	490382.0	1494362.0	3719490.0	17846466.0	4014542.0	382432.0	15634994.0	1083520.0	.0	12565110.0	126218.0	3949520.0	9971230.0	12565116.0	2646734.0	8344494.0	15634982.0	2646746.0	1083502.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	5	1	2	2	3	1	3	3	2	10	2	1	5	2	3	5	3	3	3	1	1	1	2	4	8	4	6	3	3	1	10	3	2	2	3	2	7	2	5	3	7	3	2	3	6	3	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	2.79	5.76	6.45	5.74	5.13	3.06	3.72	6.8	6.79	6.66	6.07	8.43	8.96	7.43	5.76	4.43	6.77	5.64	8.11	8.55	7.38	7.44	8.85	.2	4.49	3.49	6.79	8.84	7.97	3.95	9.17	6.8	8.64	.32	7.59	7.42	5.82	5.32	9.79	8.21	6.82	6.72	10.1	8.76	5.46	5.33	5.01	6.11	7.92	8.44	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	2040	2220	1800	2220	1620	2520	2280	2700	2580	2700	2820	2040	2340	1980	2640	2280	2400	2460	3240	1800	1800	2520	2400	2820	2940	2340	1860	2760	2820	2580	3180	2580	2280	2040	2100	3000	3840	3000	2220	2220	2640	2880	2040	2640	2520	3660	1980	2520	2340	2820	2100	2280	2220	2580	2520	2220	1860	2220	2700	2160	2220	1860	2220	2100	2100	2580	2220	1980	2400	2460	2400	2460	1920	2400	2460	3060	2700	2340	2580	2400	2820	2340	2940	2160	2160	2580	2580	2460	1920	2880	2700	2520	1800	2040	3360	2040	1980	2640	2820	2520	
additionalPoiTime-------------	0.0
algorithmTime-----------------	7.71112943E7
serverTime--------------------	1.36812877E7
Total Transferred Metadata----	14988

Photo List Size: 4610
Gained Coverage %-------------	0.7888333333333334
Gained Redundancy %-----------	0.08165432098765432
Total Cluster Created---------	50
Total Transferred Photo-------	2252
Total Photo at Destination----	811
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	1	1	3	4	7	9	8	17	22	28	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	1	2	6	10	9	16	18	38	
Redundant Ratio---------------	3	67	29	1	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	
NumOfPoint Distribution-------	0	8	13	15	3	4	2	2	1	0	2	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	52	0	1	4	2	10	11	7	10	2	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	28	15	5	25	16	3	1	0	0	1	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1721	574	235	1282	795	218	235	452	148	337	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.504424778761063	20.82300884955752	21.287610619469028	21.721238938053098	20.535398230088497	20.73008849557522	21.243362831858406	21.68141592920354	21.371681415929203	21.309734513274336	21.938053097345133	
Nodes Above Average-----------	117	114	110	110	111	113	108	110	109	110	111	
Nodes Below Average-----------	109	112	116	116	115	113	118	116	117	116	115	

Average Coverage--------------	1204.7389380530974	1222.424778761062	1249.2654867256638	1274.0176991150443	1205.7477876106195	1216.796460176991	1246.7345132743362	1271.924778761062	1254.2212389380531	1250.4070796460178	1286.1637168141592	
Nodes Above Average-----------	115	111	114	108	109	111	113	109	113	116	109	
Nodes Below Average-----------	111	115	112	118	117	115	113	117	113	110	117	
Photos Above Average----------	26	27	28	29	27	27	28	29	28	28	30	
Photos Below Average----------	14	14	13	14	14	14	14	14	13	13	14	
Network Coverage--------------	36000	36000	35996	35996	36000	36000	35996	35996	35996	35996	35996	

Average Redundancy------------	25.52654867256637	26.95575221238938	27.991150442477878	29.256637168141594	26.376106194690266	27.008849557522122	27.86725663716814	28.960176991150444	28.079646017699115	28.17699115044248	30.11946902654867	
Nodes Above Average-----------	83	85	92	89	84	85	87	92	91	88	89	
Nodes Below Average-----------	143	141	134	137	142	141	139	134	135	138	137	
Photos Above Average----------	24	25	26	27	24	25	26	27	27	26	28	
Photos Below Average----------	18	17	17	18	18	18	17	17	17	18	17	
Network Redundancy------------	242040	246360	252664	258544	242460	245100	252064	258004	253804	252964	261484	

