Message stats for scenario S_7-Photo_5000-Scenario_5-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4494
coverageValue-----------------	356	350	357	360	360	360	360	320	338	318	354	360	360	360	335	360	359	360	355	360	360	360	360	351	360	360	351	259	343	340	359	360	360	324	360	355	342	290	360	359	360	360	360	309	345	360	355	360	344	360	255	189	272	212	266	239	305	272	294	336	248	227	341	332	326	204	315	335	217	262	172	347	342	355	236	262	298	253	251	180	285	336	266	245	157	187	189	248	189	262	349	211	235	330	159	321	277	244	342	254	
redundantCoverageValue--------	484	370	183	360	660	420	360	280	82	342	246	240	360	480	205	300	421	360	245	480	360	360	420	309	420	360	369	221	257	620	421	300	120	276	480	305	258	310	300	541	180	240	420	231	255	420	545	420	256	240	165	111	268	148	394	361	55	88	306	324	232	433	379	568	274	216	405	325	263	218	188	313	498	605	244	158	242	107	289	0	315	624	334	415	23	293	231	292	111	278	311	389	305	330	141	159	443	296	258	346	
halfCoverageTime--------------	10509370.0	4205605.0	10509376.0	10681642.0	4013778.0	3951105.0	1953098.0	10510852.0	10510612.0	4293024.0	10510967.0	10509268.0	1017679.0	10510863.0	10509472.0	147389.0	13859204.0	4205572.0	10680650.0	3719538.0	10519156.0	10509248.0	4014763.0	10510926.0	3951120.0	10682232.0	1953025.0	11127472.0	10681630.0	10762148.0	2646740.0	4293030.0	4293014.0	10783156.0	1017650.0	10681624.0	11978250.0	10682296.0	4205594.0	10510746.0	10526092.0	3951115.0	10509358.0	10510718.0	10510740.0	10509404.0	10773334.0	10510920.0	4023018.0	10680656.0	10680638.0	29433796.0	12059872.0	11207520.0	126188.0	9971164.0	490388.0	9971230.0	3950226.0	2646734.0	9971236.0	490400.0	1261020.0	2026132.0	490424.0	1509674.0	11127348.0	330538.0	12060016.0	9971206.0	.0	1017674.0	4805094.0	12020557.0	14406528.0	10680632.0	13511452.0	10510846.0	10509310.0	14750584.0	11209582.0	126200.0	6791319.0	10510672.0	.0	12334490.0	14141274.0	12566066.0	12323050.0	1953116.0	757846.0	12059048.0	4013748.0	2646716.0	.0	10510700.0	10519364.0	3951095.0	3951085.0	1431192.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	3	3	6	2	4	4	1	3	2	5	9	3	1	3	6	2	9	2	2	6	8	3	7	3	1	1	2	7	3	2	2	2	4	3	3	3	6	4	4	7	4	3	5	7	2	3	1	4	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	7.68	5.65	7.08	8.48	5.89	4.19	10.76	8.33	1.61	4.4	5.26	5.16	7.1	8.34	5.17	6.0	7.69	5.73	7.61	7.44	5.78	7.02	7.08	7.87	5.18	5.56	3.0	2.75	5.82	5.5	5.16	6.99	5.55	6.1	9.15	9.49	4.76	6.36	8.38	8.94	5.97	7.66	8.28	4.97	5.55	4.69	6.05	7.01	3.86	5.83	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	356	360	360	360	360	360	360	360	360	360	350	360	360	
initialRedundantCoverageValue-	2580	2640	1860	2580	3180	2100	2400	2220	1980	1920	2220	2160	1980	2280	3000	2880	2460	2760	2520	2760	1980	2880	1920	2700	2820	2340	2700	2340	2100	3180	2520	1860	2160	2340	2040	2040	2340	2100	2280	2880	2340	2880	2160	2820	2340	2460	1920	3060	2160	2280	2460	2460	2280	1980	2760	1980	2520	2820	2520	2940	3480	2040	2640	2940	2460	2400	2400	2520	2880	2160	2040	2580	2820	2220	1800	3000	1620	2340	2700	2220	3060	2640	2460	2460	2280	2280	3000	2344	2100	2580	3060	2340	1800	2700	2400	2460	2220	2950	1920	2520	
additionalPoiTime-------------	0.0
algorithmTime-----------------	7.16668594E7
serverTime--------------------	2.03581305E7
Total Transferred Metadata----	14699

Photo List Size: 4494
Gained Coverage %-------------	0.8530261768465515
Gained Redundancy %-----------	0.12773082377630404
Total Cluster Created---------	51
Total Transferred Photo-------	3394
Total Photo at Destination----	1035
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	0	0	4	5	7	14	7	9	54	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	0	0	4	7	10	13	10	56	
Redundant Ratio---------------	1	25	66	8	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
NumOfPoint Distribution-------	0	6	10	13	7	2	4	4	1	2	0	0	0	0	0	0	0	0	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	1	1	2	5	17	4	11	6	2	1	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	21	18	1	51	5	0	0	0	0	1	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	1740	591	243	2029	1218	565	243	608	233	412	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.2972972972973	20.64864864864865	21.90990990990991	22.153153153153152	20.36036036036036	20.53153153153153	21.44144144144144	22.045045045045047	21.88738738738739	21.693693693693692	22.283783783783782	
Nodes Above Average-----------	113	111	107	100	110	110	102	100	105	107	101	
Nodes Below Average-----------	109	111	115	122	112	112	120	122	117	115	121	

Average Coverage--------------	1193.8513513513512	1213.3243243243244	1282.954954954955	1297.0405405405406	1197.3198198198197	1206.6351351351352	1256.837837837838	1290.7162162162163	1281.6981981981983	1270.2882882882882	1304.626126126126	
Nodes Above Average-----------	118	109	105	103	113	108	106	103	103	106	104	
Nodes Below Average-----------	104	113	117	119	109	114	116	119	119	116	118	
Photos Above Average----------	25	27	30	31	26	27	29	31	30	29	31	
Photos Below Average----------	13	14	14	14	14	14	14	14	14	14	14	
Network Coverage--------------	35971	35966	35964	35958	35966	35966	35966	35958	35958	35964	35958	

Average Redundancy------------	23.986486486486488	25.594594594594593	31.63963963963964	32.148648648648646	24.3018018018018	25.256756756756758	29.64864864864865	31.986486486486488	31.545045045045047	31.333333333333332	32.4009009009009	
Nodes Above Average-----------	81	86	82	81	83	85	84	82	82	80	81	
Nodes Below Average-----------	141	136	140	141	139	137	138	140	140	142	141	
Photos Above Average----------	23	24	27	28	23	24	26	28	27	27	29	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	18	
Network Redundancy------------	234389	239074	255876	259122	235234	237514	249634	257682	255582	252996	260862	

