Message stats for scenario S_9-Photo_5000-Scenario_4-ActualPOI_50
sim_time: 31622400.0000

Photo List Size: 4432
coverageValue-----------------	357	360	335	360	341	347	360	334	344	345	360	352	360	344	332	357	319	354	311	325	360	360	355	360	349	360	360	360	360	316	360	360	360	360	360	345	357	351	348	360	349	360	333	360	349	333	345	360	360	353	341	314	194	279	265	185	160	276	233	265	301	315	294	200	155	266	135	258	151	278	239	182	212	224	255	213	286	246	120	258	275	163	211	314	281	329	209	173	243	272	275	274	250	292	238	319	235	203	250	120	
redundantCoverageValue--------	423	240	325	480	259	193	300	266	256	315	240	488	240	436	208	303	341	306	349	335	180	420	245	120	311	420	360	300	420	284	300	180	480	240	240	195	183	309	312	420	371	180	147	180	191	147	375	240	180	367	499	106	106	321	95	115	140	204	187	335	359	285	366	100	265	394	45	282	29	82	121	58	388	136	465	87	374	174	0	282	205	197	329	286	319	391	331	187	357	328	205	386	230	488	242	281	185	277	410	0	
halfCoverageTime--------------	10510624.0	1495306.0	10681626.0	5576308.0	2646746.0	6959704.0	10509502.0	10519002.0	3951068.0	10681674.0	7829784.0	1953030.0	4013724.0	10526110.0	1512746.0	4293008.0	10509732.0	6959715.0	10509762.0	10762178.0	1968324.0	10519032.0	10509922.0	1953025.0	10509478.0	4293030.0	12404310.0	10509786.0	3951056.0	10509466.0	3949502.0	3719538.0	4013713.0	4205582.0	1593884.0	10681648.0	10868260.0	10509392.0	10523280.0	1500282.0	4013742.0	9971248.0	4292990.0	10509416.0	10773339.0	10680738.0	12323033.0	6791314.0	12613096.0	4014536.0	1953048.0	4205642.0	13202516.0	1968312.0	10762584.0	16894212.0	.0	1017650.0	3719496.0	501342.0	501330.0	1953060.0	147814.0	12567362.0	.0	1494312.0	.0	12059882.0	.0	2026138.0	952104.0	11127366.0	3719502.0	6632234.0	11199608.0	1953071.0	1494306.0	13202194.0	.0	3950226.0	490388.0	.0	11944171.0	9971200.0	757825.0	138480.0	10510606.0	.0	10509738.0	10509274.0	4805100.0	1083520.0	4205572.0	9971254.0	2646722.0	9971158.0	10509315.0	10523295.0	4292996.0	.0	
numberOfPoint-----------------	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	3	2	4	4	2	5	3	4	4	3	3	4	6	3	2	4	3	3	13	4	2	2	9	3	3	3	5	2	3	2	3	2	2	3	2	4	3	2	5	4	3	3	5	2	3	2	
standardDeviation-------------	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	.0	8.53	5.74	5.99	5.0	4.59	6.88	7.75	10.16	7.11	5.37	6.62	8.19	5.71	7.58	8.66	9.32	7.0	6.59	10.53	9.03	9.86	9.78	5.47	9.46	4.7	7.05	6.85	5.46	9.17	8.62	7.97	6.05	7.94	5.19	8.58	3.97	7.22	7.61	6.13	6.42	7.06	6.37	8.31	7.99	6.73	7.49	7.97	5.45	6.87	5.92	
initialCoverageValue----------	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	360	345	360	360	360	360	360	360	360	360	360	360	360	360	360	360	356	360	360	360	360	360	360	360	360	360	360	360	360	360	
initialRedundantCoverageValue-	1800	3060	2460	2760	2400	2160	2700	1860	3060	2520	3480	2220	2580	2400	1800	2280	2460	2520	2820	2580	3240	2160	2820	2460	2580	2640	2580	1740	3120	1920	1680	2340	2220	2640	3240	2280	2160	2520	2220	2640	2760	2940	2040	2280	2400	1860	2280	2520	1980	2220	2340	2400	1500	2340	2880	2220	1920	2700	3000	2460	2520	2520	3060	2760	2700	2700	2340	3000	2400	2460	2820	1635	2100	1980	2220	2340	2280	2520	2340	2160	2640	2040	2820	2940	1560	2220	1744	2160	2340	2880	2820	2760	1980	2280	2700	2520	2520	2160	2580	1800	
additionalPoiTime-------------	7.863230405E8
algorithmTime-----------------	7.31020686E7
serverTime--------------------	1.94533247E7
Total Transferred Metadata----	14584

Photo List Size: 4432
Gained Coverage %-------------	0.8205997609849642
Gained Redundancy %-----------	0.10984043979066228
Total Cluster Created---------	50
Total Transferred Photo-------	3650
Total Photo at Destination----	945
Coverage Group----------------	1-30	31-60	61-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-330	331-360	
Coverage Distribution---------	0	0	0	2	1	5	6	8	10	11	10	47	
Ratio Group-------------------	.0	.1	.2	.3	.4	.5	.6	.7	.8	.9	1.0	
Coverage Ratio----------------	0	0	0	0	3	5	9	9	15	10	49	
Redundant Ratio---------------	2	45	46	7	0	0	0	0	0	0	0	
NumberOfPoint Group-----------	0	1	2	3	4	5	6	7	8	9	10	11	12	13	
NumOfPoint Distribution-------	0	0	14	20	9	4	1	0	0	1	0	0	0	1	
SD Group----------------------	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	
SD Distribution---------------	50	0	0	1	3	9	10	13	6	6	2	
Half Coverage Group-----------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Half Cvg Time Distribution----	25	20	5	39	2	1	0	0	0	0	0	
Transferred Photo Group-------	0-3162240	3162240-6324480	6324480-9486720	9486720-12648960	12648960-15811200	15811200-18973440	18973440-22135680	22135680-25297920	25297920-28460160	28460160-31622400	31622400-34784640	
Photo Time Distribution-------	3485	737	214	7825	2365	824	306	3008	364	583	0	

Cvg&Red Distribution----------	2.0	9486720.0	1.897344E7	2.846016E7	3162240.0	6324480.0	1.264896E7	2.529792E7	2.213568E7	1.58112E7	3.16224E7	
Average PhotoNum--------------	20.2	20.37727272727273	21.89090909090909	22.104545454545455	20.213636363636365	20.304545454545455	21.186363636363637	22.03181818181818	21.881818181818183	21.65909090909091	22.272727272727273	
Nodes Above Average-----------	111	110	106	96	109	109	101	96	104	105	98	
Nodes Below Average-----------	109	110	114	124	111	111	119	124	116	115	122	

Average Coverage--------------	1189.6954545454546	1199.5181818181818	1283.4681818181818	1295.2818181818182	1190.5454545454545	1195.4545454545455	1244.2363636363636	1291.1	1283.3818181818183	1271.1	1304.85	
Nodes Above Average-----------	117	113	101	96	114	113	106	97	100	101	98	
Nodes Below Average-----------	103	107	119	124	106	107	114	123	120	119	122	
Photos Above Average----------	25	26	30	31	26	26	28	31	30	30	31	
Photos Below Average----------	13	13	14	14	13	13	14	14	14	14	14	
Network Coverage--------------	35981	35981	35981	35980	35981	35981	35981	35980	35980	35981	35980	

Average Redundancy------------	22.304545454545455	23.118181818181817	29.986363636363638	30.990909090909092	22.272727272727273	22.818181818181817	26.945454545454545	30.80909090909091	29.527272727272727	28.445454545454545	31.513636363636362	
Nodes Above Average-----------	74	74	77	77	74	74	76	78	78	77	77	
Nodes Below Average-----------	146	146	143	143	146	146	144	142	142	143	143	
Photos Above Average----------	23	24	28	29	24	24	26	29	28	28	30	
Photos Below Average----------	18	18	18	18	18	18	18	18	18	18	17	
Network Redundancy------------	230659	232999	252979	255800	230839	232039	243679	254840	252860	249919	258020	

